English_code,Partial_translated_code
"for i in range(10):  # First digit
    for j in range(10):  # Second digit
        for k in range(10):  # Third digit
            # Checking for the conditions
            if i != 5 and j != 5 and k != 5 and i != j and i != k and j != k:
                print(i, j, k)","Για i σε εύρος(10): #First digit
    Για j σε εύρος(10): #Second digit
        Για k σε εύρος(10): #Third digit
             #Checking for the conditions
            αν i != 5 και j != 5 και k != 5 και i != j και i != k και j != k:
                τύπωσε(i, j, k)"
"def count_distinct_states(matrix):
    count = 0
    states = set()
    for row in matrix:
        for col in row:
            state = ''.join(col)
            if state not in states:
                count += 1
            states.add(state)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(count_distinct_states(matrix))
# Output: 4","καθόρισε count_distinct_states(matrix):
    μέτρησε = 0
    states = σύνολο()
    Για row σε matrix:
        Για col σε row:
            state = ''.ένωσε(col)
            αν state όχι σε states:
                μέτρησε += 1
            states.πρόσθεσε(state)
    επιστροφή μέτρησε

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
τύπωσε(count_distinct_states(matrix))
 #Output: 4"
"def remove_spaces_and_punctuation(s):
    result = """"
    for char in s:
        if char.isalnum():
            result += char
    return result","καθόρισε remove_spaces_and_punctuation(s):
    result = """"
    Για char σε s:
        αν char.είναι_αλφαριθμητική():
            result += char
    επιστροφή result"
"import math

def is_prime(n):
    # Check if the number is less than 2 or not an integer
    if n < 2 or not isinstance(n, int):
        return ""Not Prime""

    # Check if the number is divisible by any integer from 2 to the square root of n
    for i in range(2, math.isqrt(n) + 1):
        if n % i == 0:
            return ""Not Prime""

    return ""Prime""","εισαγωγή math

καθόρισε is_prime(n):
     #Check if the number is less than 2 or not an integer
    αν n < 2 ή όχι είναι_παράδειγμα(n, ακέραιη):
        επιστροφή ""Not Prime""

     #Check if the number is divisible by any integer from 2 to the square root of n
    Για i σε εύρος(2, math.isqrt(n) + 1):
        αν n % i == 0:
            επιστροφή ""Not Prime""

    επιστροφή ""Prime"""
"class String:
    def __init__(self, string):
        self.string = string

    def replace_odd_occurrences(self, substring, replace_with):
        count = self.string.count(substring)
        if count % 2 == 0 or count == 0:
            return self.string

        result = """"
        stack = []

        for i in range(len(self.string)):
            if self.string[i:i+len(substring)] == substring:
                if len(stack) > 0 and (stack[-1] == '(' or stack[-1] == '['):
                    stack.append(substring)
                    result += substring
                elif len(stack) > 0 and (stack[-1] == ')' or stack[-1] == ']'):
                    stack.pop()
                    result += substring
                else:
                    stack.append(substring)
                    result += replace_with
            else:
                result += self.string[i]

            if len(stack) > 0 and stack[-1] == substring:
                stack.pop()

        return result","κλάσση String:
    καθόρισε __init__(self, string):
        self.string = string

    καθόρισε replace_odd_occurrences(self, substring, replace_with):
        μέτρησε = self.string.μέτρησε(substring)
        αν μέτρησε % 2 == 0 ή μέτρησε == 0:
            επιστροφή self.string

        result = """"
        stack = []

        Για i σε εύρος(μήκος(self.string)):
            αν self.string[i:i+μήκος(substring)] == substring:
                αν μήκος(stack) > 0 και (stack[-1] == '(' ή stack[-1] == '['):
                    stack.προσάρτησε(substring)
                    result += substring
                αλλιώς_αν μήκος(stack) > 0 και (stack[-1] == ')' ή stack[-1] == ']'):
                    stack.βγάλε()
                    result += substring
                αλλιώς:
                    stack.προσάρτησε(substring)
                    result += replace_with
            αλλιώς:
                result += self.string[i]

            αν μήκος(stack) > 0 και stack[-1] == substring:
                stack.βγάλε()

        επιστροφή result"
"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def has_digit_7(num):
    while num > 0:
        if num % 10 == 7:
            return True
        num //= 10
    return False

def sum_of_primes():
    sum_of_primes = 0
    for num in range(1000000, 2000001):
        if is_prime(num) and not has_digit_7(num):
            sum_of_primes += num
    return sum_of_primes

result = sum_of_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)","καθόρισε is_prime(num):
    αν num <= 1:
        επιστροφή Ψευδής
    Για i σε εύρος(2, ακέραιη(num**0.5) + 1):
        αν num % i == 0:
            επιστροφή Ψευδής
    επιστροφή Αληθής

καθόρισε has_digit_7(num):
    ενώ num > 0:
        αν num % 10 == 7:
            επιστροφή Αληθής
        num //= 10
    επιστροφή Ψευδής

καθόρισε sum_of_primes():
    sum_of_primes = 0
    Για num σε εύρος(1000000, 2000001):
        αν is_prime(num) και όχι has_digit_7(num):
            sum_of_primes += num
    επιστροφή sum_of_primes

result = sum_of_primes()
τύπωσε(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)"
"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    while len(prime_sum_array) < N and current_number <= X:
        if is_prime(sum_so_far + current_number):
            prime_sum_array.append(current_number)
            sum_so_far += current_number
        current_number += M

    if not is_prime(sum_so_far):
        return []

    return prime_sum_array

# Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
print(result)","καθόρισε is_prime(num):
    αν num < 2:
        επιστροφή Ψευδής
    Για i σε εύρος(2, ακέραιη(num ** 0.5) + 1):
        αν num % i == 0:
            επιστροφή Ψευδής
    επιστροφή Αληθής

καθόρισε find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    ενώ μήκος(prime_sum_array) < N και current_number <= X:
        αν is_prime(sum_so_far + current_number):
            prime_sum_array.προσάρτησε(current_number)
            sum_so_far += current_number
        current_number += M

    αν όχι is_prime(sum_so_far):
        επιστροφή []

    επιστροφή prime_sum_array

 #Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
τύπωσε(result)"
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def max_prime_difference(arr):
    primes = []
    for num in arr:
        if is_prime(abs(num)):
            primes.append(abs(num))
    if len(primes) < 2:
        return 0
    max_diff = 0
    for i in range(len(primes)-1):
        diff = abs(primes[i] - primes[i+1])
        if diff > max_diff:
            max_diff = diff
    return max_diff","καθόρισε is_prime(n):
    αν n < 2:
        επιστροφή Ψευδής
    Για i σε εύρος(2, ακέραιη(n**0.5) + 1):
        αν n % i == 0:
            επιστροφή Ψευδής
    επιστροφή Αληθής

καθόρισε max_prime_difference(arr):
    primes = []
    Για num σε arr:
        αν is_prime(απόλ(num)):
            primes.προσάρτησε(απόλ(num))
    αν μήκος(primes) < 2:
        επιστροφή 0
    max_diff = 0
    Για i σε εύρος(μήκος(primes)-1):
        diff = απόλ(primes[i] - primes[i+1])
        αν diff > max_diff:
            max_diff = diff
    επιστροφή max_diff"
"import math

def calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

    # Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

    # Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

    # Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

    # Calculate the final height of the triangle
    height += remaining_side_length

    return height


def simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True):
    # Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

    # Simulate the motion until the y-coordinate becomes negative (reached the ground)
    while y >= 0:
        # Calculate the acceleration due to air resistance
        if air_resistance:
            air_resistance_acceleration = -0.5 * vy**2  # Simplified model for air resistance
        else:
            air_resistance_acceleration = 0.0  # No air resistance

        # Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

        # Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

        # Increment the time
        time += time_interval

    return x, y, time


# Example usage
angle = 45  # Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
print(f""The height of the triangle is: {height}"")

initial_velocity = 10  # m/s
time_interval = 0.01  # seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True)
print(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","εισαγωγή math

καθόρισε calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

     #Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

     #Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

     #Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

     #Calculate the final height of the triangle
    height += remaining_side_length

    επιστροφή height


καθόρισε simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=Αληθής):
     #Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

     #Simulate the motion until the y-coordinate becomes negative (reached the ground)
    ενώ y >= 0:
         #Calculate the acceleration due to air resistance
        αν air_resistance:
            air_resistance_acceleration = -0.5 * vy**2 #Simplified model for air resistance
        αλλιώς:
            air_resistance_acceleration = 0.0 #No air resistance

         #Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

         #Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

         #Increment the time
        time += time_interval

    επιστροφή x, y, time


 #Example usage
angle = 45 #Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
τύπωσε(f""The height of the triangle is: {height}"")

initial_velocity = 10 #m/s
time_interval = 0.01 #seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=Αληθής)
τύπωσε(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")"
"import math

def calculate_circle_area(radius):
    try:
        radius = float(radius)
        if radius <= 0:
            return ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        return ""{:.2f}"".format(area)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""","εισαγωγή math

καθόρισε calculate_circle_area(radius):
    προσπάθησε:
        radius = κινητής_υποδιαστολής(radius)
        αν radius <= 0:
            επιστροφή ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        επιστροφή ""{:.2f}"".μορφή(area)
    εκτός Σφάλμα_τιμής:
        επιστροφή ""Error: Invalid input. Radius must be a number"""
