English_code,Partial_translated_code
"for i in range(10):  # First digit
    for j in range(10):  # Second digit
        for k in range(10):  # Third digit
            # Checking for the conditions
            if i != 5 and j != 5 and k != 5 and i != j and i != k and j != k:
                print(i, j, k)","para i en rango(10): #First digit
    para j en rango(10): #Second digit
        para k en rango(10): #Third digit
             #Checking for the conditions
            si i != 5 y j != 5 y k != 5 y i != j y i != k y j != k:
                imprimir(i, j, k)"
"def count_distinct_states(matrix):
    count = 0
    states = set()
    for row in matrix:
        for col in row:
            state = ''.join(col)
            if state not in states:
                count += 1
            states.add(state)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(count_distinct_states(matrix))
# Output: 4","definir count_distinct_states(matrix):
    contar = 0
    states = conjunto()
    para row en matrix:
        para col en row:
            state = ''.unir(col)
            si state no en states:
                contar += 1
            states.agregar(state)
    retornar contar

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
imprimir(count_distinct_states(matrix))
 #Output: 4"
"def remove_spaces_and_punctuation(s):
    result = """"
    for char in s:
        if char.isalnum():
            result += char
    return result","definir remove_spaces_and_punctuation(s):
    result = """"
    para char en s:
        si char.es_alfanumérico():
            result += char
    retornar result"
"import math

def is_prime(n):
    # Check if the number is less than 2 or not an integer
    if n < 2 or not isinstance(n, int):
        return ""Not Prime""

    # Check if the number is divisible by any integer from 2 to the square root of n
    for i in range(2, math.isqrt(n) + 1):
        if n % i == 0:
            return ""Not Prime""

    return ""Prime""","importar math

definir is_prime(n):
     #Check if the number is less than 2 or not an integer
    si n < 2 o no es_instancia(n, entero):
        retornar ""Not Prime""

     #Check if the number is divisible by any integer from 2 to the square root of n
    para i en rango(2, math.isqrt(n) + 1):
        si n % i == 0:
            retornar ""Not Prime""

    retornar ""Prime"""
"class String:
    def __init__(self, string):
        self.string = string

    def replace_odd_occurrences(self, substring, replace_with):
        count = self.string.count(substring)
        if count % 2 == 0 or count == 0:
            return self.string

        result = """"
        stack = []

        for i in range(len(self.string)):
            if self.string[i:i+len(substring)] == substring:
                if len(stack) > 0 and (stack[-1] == '(' or stack[-1] == '['):
                    stack.append(substring)
                    result += substring
                elif len(stack) > 0 and (stack[-1] == ')' or stack[-1] == ']'):
                    stack.pop()
                    result += substring
                else:
                    stack.append(substring)
                    result += replace_with
            else:
                result += self.string[i]

            if len(stack) > 0 and stack[-1] == substring:
                stack.pop()

        return result","clase String:
    definir __init__(self, string):
        self.string = string

    definir replace_odd_occurrences(self, substring, replace_with):
        contar = self.string.contar(substring)
        si contar % 2 == 0 o contar == 0:
            retornar self.string

        result = """"
        stack = []

        para i en rango(longitud(self.string)):
            si self.string[i:i+longitud(substring)] == substring:
                si longitud(stack) > 0 y (stack[-1] == '(' o stack[-1] == '['):
                    stack.adjuntar(substring)
                    result += substring
                sino_si longitud(stack) > 0 y (stack[-1] == ')' o stack[-1] == ']'):
                    stack.retirar()
                    result += substring
                sino:
                    stack.adjuntar(substring)
                    result += replace_with
            sino:
                result += self.string[i]

            si longitud(stack) > 0 y stack[-1] == substring:
                stack.retirar()

        retornar result"
"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def has_digit_7(num):
    while num > 0:
        if num % 10 == 7:
            return True
        num //= 10
    return False

def sum_of_primes():
    sum_of_primes = 0
    for num in range(1000000, 2000001):
        if is_prime(num) and not has_digit_7(num):
            sum_of_primes += num
    return sum_of_primes

result = sum_of_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)","definir is_prime(num):
    si num <= 1:
        retornar FALSO
    para i en rango(2, entero(num**0.5) + 1):
        si num % i == 0:
            retornar FALSO
    retornar Verdadero

definir has_digit_7(num):
    mientras num > 0:
        si num % 10 == 7:
            retornar Verdadero
        num //= 10
    retornar FALSO

definir sum_of_primes():
    sum_of_primes = 0
    para num en rango(1000000, 2000001):
        si is_prime(num) y no has_digit_7(num):
            sum_of_primes += num
    retornar sum_of_primes

result = sum_of_primes()
imprimir(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)"
"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    while len(prime_sum_array) < N and current_number <= X:
        if is_prime(sum_so_far + current_number):
            prime_sum_array.append(current_number)
            sum_so_far += current_number
        current_number += M

    if not is_prime(sum_so_far):
        return []

    return prime_sum_array

# Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
print(result)","definir is_prime(num):
    si num < 2:
        retornar FALSO
    para i en rango(2, entero(num ** 0.5) + 1):
        si num % i == 0:
            retornar FALSO
    retornar Verdadero

definir find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    mientras longitud(prime_sum_array) < N y current_number <= X:
        si is_prime(sum_so_far + current_number):
            prime_sum_array.adjuntar(current_number)
            sum_so_far += current_number
        current_number += M

    si no is_prime(sum_so_far):
        retornar []

    retornar prime_sum_array

 #Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
imprimir(result)"
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def max_prime_difference(arr):
    primes = []
    for num in arr:
        if is_prime(abs(num)):
            primes.append(abs(num))
    if len(primes) < 2:
        return 0
    max_diff = 0
    for i in range(len(primes)-1):
        diff = abs(primes[i] - primes[i+1])
        if diff > max_diff:
            max_diff = diff
    return max_diff","definir is_prime(n):
    si n < 2:
        retornar FALSO
    para i en rango(2, entero(n**0.5) + 1):
        si n % i == 0:
            retornar FALSO
    retornar Verdadero

definir max_prime_difference(arr):
    primes = []
    para num en arr:
        si is_prime(valor_absoluto(num)):
            primes.adjuntar(valor_absoluto(num))
    si longitud(primes) < 2:
        retornar 0
    max_diff = 0
    para i en rango(longitud(primes)-1):
        diff = valor_absoluto(primes[i] - primes[i+1])
        si diff > max_diff:
            max_diff = diff
    retornar max_diff"
"import math

def calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

    # Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

    # Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

    # Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

    # Calculate the final height of the triangle
    height += remaining_side_length

    return height


def simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True):
    # Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

    # Simulate the motion until the y-coordinate becomes negative (reached the ground)
    while y >= 0:
        # Calculate the acceleration due to air resistance
        if air_resistance:
            air_resistance_acceleration = -0.5 * vy**2  # Simplified model for air resistance
        else:
            air_resistance_acceleration = 0.0  # No air resistance

        # Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

        # Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

        # Increment the time
        time += time_interval

    return x, y, time


# Example usage
angle = 45  # Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
print(f""The height of the triangle is: {height}"")

initial_velocity = 10  # m/s
time_interval = 0.01  # seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True)
print(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","importar math

definir calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

     #Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

     #Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

     #Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

     #Calculate the final height of the triangle
    height += remaining_side_length

    retornar height


definir simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=Verdadero):
     #Initialize variables
    x = 0.0
    and = 0.0
    time = 0.0

     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

     #Simulate the motion until the y-coordinate becomes negative (reached the ground)
    mientras and >= 0:
         #Calculate the acceleration due to air resistance
        si air_resistance:
            air_resistance_acceleration = -0.5 * vy**2 #Simplified model for air resistance
        sino:
            air_resistance_acceleration = 0.0 #No air resistance

         #Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

         #Calculate the new position using the kinematic equations
        x += vx * time_interval
        and += vy * time_interval

         #Increment the time
        time += time_interval

    retornar x, and, time


 #Example usage
angle = 45 #Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
imprimir(f""The height of the triangle is: {height}"")

initial_velocity = 10 #m/s
time_interval = 0.01 #seconds
x, and, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=Verdadero)
imprimir(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")"
"import math

def calculate_circle_area(radius):
    try:
        radius = float(radius)
        if radius <= 0:
            return ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        return ""{:.2f}"".format(area)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""","importar math

definir calculate_circle_area(radius):
    intentar:
        radius = punto_flotante(radius)
        si radius <= 0:
            retornar ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        retornar ""{:.2f}"".formato(area)
    excepto Error de valor:
        retornar ""Error: Invalid input. Radius must be a number"""
