English_code,Partial_translated_code
"for i in range(10):  # First digit
    for j in range(10):  # Second digit
        for k in range(10):  # Third digit
            # Checking for the conditions
            if i != 5 and j != 5 and k != 5 and i != j and i != k and j != k:
                print(i, j, k)","के_लिए i में रेंज(10): #First digit
    के_लिए j में रेंज(10): #Second digit
        के_लिए k में रेंज(10): #Third digit
             #Checking for the conditions
            यदि i != 5 और j != 5 और k != 5 और i != j और i != k और j != k:
                छापिये(i, j, k)"
"def count_distinct_states(matrix):
    count = 0
    states = set()
    for row in matrix:
        for col in row:
            state = ''.join(col)
            if state not in states:
                count += 1
            states.add(state)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(count_distinct_states(matrix))
# Output: 4","परिभाषा count_distinct_states(matrix):
    गिनें = 0
    states = सेट()
    के_लिए row में matrix:
        के_लिए col में row:
            state = ''.जोड़(col)
            यदि state ना में states:
                गिनें += 1
            states.योग(state)
    वापस गिनें

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
छापिये(count_distinct_states(matrix))
 #Output: 4"
"def remove_spaces_and_punctuation(s):
    result = """"
    for char in s:
        if char.isalnum():
            result += char
    return result","परिभाषा remove_spaces_and_punctuation(s):
    result = """"
    के_लिए char में s:
        यदि char.अंकाक्षर_है():
            result += char
    वापस result"
"import math

def is_prime(n):
    # Check if the number is less than 2 or not an integer
    if n < 2 or not isinstance(n, int):
        return ""Not Prime""

    # Check if the number is divisible by any integer from 2 to the square root of n
    for i in range(2, math.isqrt(n) + 1):
        if n % i == 0:
            return ""Not Prime""

    return ""Prime""","आयात math

परिभाषा is_prime(n):
     #Check if the number is less than 2 or not an integer
    यदि n < 2 या ना उदाहरण_है(n, अंक):
        वापस ""Not Prime""

     #Check if the number is divisible by any integer from 2 to the square root of n
    के_लिए i में रेंज(2, math.isqrt(n) + 1):
        यदि n % i == 0:
            वापस ""Not Prime""

    वापस ""Prime"""
"class String:
    def __init__(self, string):
        self.string = string

    def replace_odd_occurrences(self, substring, replace_with):
        count = self.string.count(substring)
        if count % 2 == 0 or count == 0:
            return self.string

        result = """"
        stack = []

        for i in range(len(self.string)):
            if self.string[i:i+len(substring)] == substring:
                if len(stack) > 0 and (stack[-1] == '(' or stack[-1] == '['):
                    stack.append(substring)
                    result += substring
                elif len(stack) > 0 and (stack[-1] == ')' or stack[-1] == ']'):
                    stack.pop()
                    result += substring
                else:
                    stack.append(substring)
                    result += replace_with
            else:
                result += self.string[i]

            if len(stack) > 0 and stack[-1] == substring:
                stack.pop()

        return result","वर्ग String:
    परिभाषा __init__(self, string):
        self.string = string

    परिभाषा replace_odd_occurrences(self, substring, replace_with):
        गिनें = self.string.गिनें(substring)
        यदि गिनें % 2 == 0 या गिनें == 0:
            वापस self.string

        result = """"
        stack = []

        के_लिए i में रेंज(लंबाई(self.string)):
            यदि self.string[i:i+लंबाई(substring)] == substring:
                यदि लंबाई(stack) > 0 और (stack[-1] == '(' या stack[-1] == '['):
                    stack.संलग्न(substring)
                    result += substring
                वरना_यदि लंबाई(stack) > 0 और (stack[-1] == ')' या stack[-1] == ']'):
                    stack.पॉप()
                    result += substring
                वरना:
                    stack.संलग्न(substring)
                    result += replace_with
            वरना:
                result += self.string[i]

            यदि लंबाई(stack) > 0 और stack[-1] == substring:
                stack.पॉप()

        वापस result"
"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def has_digit_7(num):
    while num > 0:
        if num % 10 == 7:
            return True
        num //= 10
    return False

def sum_of_primes():
    sum_of_primes = 0
    for num in range(1000000, 2000001):
        if is_prime(num) and not has_digit_7(num):
            sum_of_primes += num
    return sum_of_primes

result = sum_of_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)","परिभाषा is_prime(num):
    यदि num <= 1:
        वापस असत्य
    के_लिए i में रेंज(2, अंक(num**0.5) + 1):
        यदि num % i == 0:
            वापस असत्य
    वापस सत्य

परिभाषा has_digit_7(num):
    जबतक num > 0:
        यदि num % 10 == 7:
            वापस सत्य
        num //= 10
    वापस असत्य

परिभाषा sum_of_primes():
    sum_of_primes = 0
    के_लिए num में रेंज(1000000, 2000001):
        यदि is_prime(num) और ना has_digit_7(num):
            sum_of_primes += num
    वापस sum_of_primes

result = sum_of_primes()
छापिये(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)"
"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    while len(prime_sum_array) < N and current_number <= X:
        if is_prime(sum_so_far + current_number):
            prime_sum_array.append(current_number)
            sum_so_far += current_number
        current_number += M

    if not is_prime(sum_so_far):
        return []

    return prime_sum_array

# Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
print(result)","परिभाषा is_prime(num):
    यदि num < 2:
        वापस असत्य
    के_लिए i में रेंज(2, अंक(num ** 0.5) + 1):
        यदि num % i == 0:
            वापस असत्य
    वापस सत्य

परिभाषा find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    जबतक लंबाई(prime_sum_array) < N और current_number <= X:
        यदि is_prime(sum_so_far + current_number):
            prime_sum_array.संलग्न(current_number)
            sum_so_far += current_number
        current_number += M

    यदि ना is_prime(sum_so_far):
        वापस []

    वापस prime_sum_array

 #Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
छापिये(result)"
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def max_prime_difference(arr):
    primes = []
    for num in arr:
        if is_prime(abs(num)):
            primes.append(abs(num))
    if len(primes) < 2:
        return 0
    max_diff = 0
    for i in range(len(primes)-1):
        diff = abs(primes[i] - primes[i+1])
        if diff > max_diff:
            max_diff = diff
    return max_diff","परिभाषा is_prime(n):
    यदि n < 2:
        वापस असत्य
    के_लिए i में रेंज(2, अंक(n**0.5) + 1):
        यदि n % i == 0:
            वापस असत्य
    वापस सत्य

परिभाषा max_prime_difference(arr):
    primes = []
    के_लिए num में arr:
        यदि is_prime(निरपेक्ष_मान(num)):
            primes.संलग्न(निरपेक्ष_मान(num))
    यदि लंबाई(primes) < 2:
        वापस 0
    max_diff = 0
    के_लिए i में रेंज(लंबाई(primes)-1):
        diff = निरपेक्ष_मान(primes[i] - primes[i+1])
        यदि diff > max_diff:
            max_diff = diff
    वापस max_diff"
"import math

def calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

    # Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

    # Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

    # Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

    # Calculate the final height of the triangle
    height += remaining_side_length

    return height


def simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True):
    # Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

    # Simulate the motion until the y-coordinate becomes negative (reached the ground)
    while y >= 0:
        # Calculate the acceleration due to air resistance
        if air_resistance:
            air_resistance_acceleration = -0.5 * vy**2  # Simplified model for air resistance
        else:
            air_resistance_acceleration = 0.0  # No air resistance

        # Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

        # Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

        # Increment the time
        time += time_interval

    return x, y, time


# Example usage
angle = 45  # Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
print(f""The height of the triangle is: {height}"")

initial_velocity = 10  # m/s
time_interval = 0.01  # seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True)
print(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","आयात math

परिभाषा calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

     #Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

     #Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

     #Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

     #Calculate the final height of the triangle
    height += remaining_side_length

    वापस height


परिभाषा simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=सत्य):
     #Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

     #Simulate the motion until the y-coordinate becomes negative (reached the ground)
    जबतक y >= 0:
         #Calculate the acceleration due to air resistance
        यदि air_resistance:
            air_resistance_acceleration = -0.5 * vy**2 #Simplified model for air resistance
        वरना:
            air_resistance_acceleration = 0.0 #No air resistance

         #Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

         #Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

         #Increment the time
        time += time_interval

    वापस x, y, time


 #Example usage
angle = 45 #Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
छापिये(f""The height of the triangle is: {height}"")

initial_velocity = 10 #m/s
time_interval = 0.01 #seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=सत्य)
छापिये(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")"
"import math

def calculate_circle_area(radius):
    try:
        radius = float(radius)
        if radius <= 0:
            return ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        return ""{:.2f}"".format(area)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""","आयात math

परिभाषा calculate_circle_area(radius):
    प्रयत्न:
        radius = दश(radius)
        यदि radius <= 0:
            वापस ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        वापस ""{:.2f}"".प्रारूप(area)
    सिवाय मान_त्रुटि:
        वापस ""Error: Invalid input. Radius must be a number"""
