chunk_size,index,original_code,translated_code,back_translated_code,bleu_score,syntax_valid,structure_score,semantic_score,token_match,overall_score
0,1,"for i in range(10):  # First digit
    for j in range(10):  # Second digit
        for k in range(10):  # Third digit
            # Checking for the conditions
            if i != 5 and j != 5 and k != 5 and i != j and i != k and j != k:
                print(i, j, k)","for ez in range(10): #Hejmarek yekem
    for J in range(10): #Hejmar duyemîn
        for k in range(10): #Hejmar sêyemîn
               #Kontrolkirina şertan
            if ez != 5 and J != 5 and k != 5 and ez != J and ez != k and J != k:
                print(ez, J, k)","for ez in range(10): #Hejmarek yekem
    for J in range(10): #Hejmar duyemîn
        for k in range(10): #Hejmar sêyemîn
                #Kontrolkirina şertan
            if ez != 5 and J != 5 and k != 5 and ez != J and ez != k and J != k:
                print(ez, J, k)",0.5808987291489046,True,1.0,0.7801206707954407,1.0,0.872203879988869
0,2,"def count_distinct_states(matrix):
    count = 0
    states = set()
    for row in matrix:
        for col in row:
            state = ''.join(col)
            if state not in states:
                count += 1
            states.add(state)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(count_distinct_states(matrix))
# Output: 4","def Dewletn_cihreng_hejmartin(matrix):
    count = 0
    dewlete = set()
    for brkirin in matrix:
        for col in brkirin:
            rew = ''.join(col)
            if rew not in dewlete:
                count += 1
            dewlete.add(rew)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(Dewletn_cihreng_hejmartin(matrix))
   #Derket: 4","def Dewletn_cihreng_hejmartin(matrix):
    count = 0
    dewlete = set()
    for brkirin in matrix:
        for col in brkirin:
            rew = ''.join(col)
            if rew not in dewlete:
                count += 1
            dewlete.add(rew)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(Dewletn_cihreng_hejmartin(matrix))
    #Derket: 4",0.7033702504804855,True,0.5,0.5253389477729797,1.0,0.7457418396506931
0,3,"def remove_spaces_and_punctuation(s):
    result = """"
    for char in s:
        if char.isalnum():
            result += char
    return result","def dever__xaln_rakirin(S):
    netce = """"
    for ekar in S:
        if ekar.isalnum():
            netce += ekar
    return netce","def dever__xaln_rakirin(S):
    netce = """"
    for ekar in S:
        if ekar.isalnum():
            netce += ekar
    return netce",0.23466272806717112,True,0.5,0.2644553780555725,1.0,0.5998236212245487
0,4,"import math

def is_prime(n):
    # Check if the number is less than 2 or not an integer
    if n < 2 or not isinstance(n, int):
        return ""Not Prime""

    # Check if the number is divisible by any integer from 2 to the square root of n
    for i in range(2, math.isqrt(n) + 1):
        if n % i == 0:
            return ""Not Prime""

    return ""Prime""","import Ziman_kann

def Serokwezr_e(N):
       #Kontrol bikin ku hejmar ji 2 kêmtir e an ne yek in
    if N < 2 or not isinstance(N, int):
        return ""Not Prime""

       #Kontrol bikin ka hejmar ji hêla her hejmarek ji 2_ê heya rootê meydana n
    for ez in range(2, Ziman_kann.Isqrt(N) + 1):
        if N % ez == 0:
            return ""Not Prime""

    return ""Prime""","import Ziman_kann

def Serokwezr_e(N):
        #Kontrol bikin ku hejmar ji 2 kêmtir e an ne yek in
    if N < 2 or not isinstance(N, int):
        return ""Not Prime""

        #Kontrol bikin ka hejmar ji hêla her hejmarek ji 2_ê heya rootê meydana n
    for ez in range(2, Ziman_kann.Isqrt(N) + 1):
        if N % ez == 0:
            return ""Not Prime""

    return ""Prime""",0.5063441503661233,True,0.5,0.7336382269859314,1.0,0.7479964754704109
0,5,"class String:
    def __init__(self, string):
        self.string = string

    def replace_odd_occurrences(self, substring, replace_with):
        count = self.string.count(substring)
        if count % 2 == 0 or count == 0:
            return self.string

        result = """"
        stack = []

        for i in range(len(self.string)):
            if self.string[i:i+len(substring)] == substring:
                if len(stack) > 0 and (stack[-1] == '(' or stack[-1] == '['):
                    stack.append(substring)
                    result += substring
                elif len(stack) > 0 and (stack[-1] == ')' or stack[-1] == ']'):
                    stack.pop()
                    result += substring
                else:
                    stack.append(substring)
                    result += replace_with
            else:
                result += self.string[i]

            if len(stack) > 0 and stack[-1] == substring:
                stack.pop()

        return result","class Ben:
    def __init__(self, ben):
        self.ben = ben

    def byern_ecb_biguheznin(self, Substring, bi):
        count = self.ben.count(Substring)
        if count % 2 == 0 or count == 0:
            return self.ben

        netce = """"
        lod = []

        for ez in range(len(self.ben)):
            if self.ben[ez:ez+len(Substring)] == Substring:
                if len(lod) > 0 and (lod[-1] == '(' or lod[-1] == '['):
                    lod.append(Substring)
                    netce += Substring
                ئەگەرنا_ئەگەر... len(lod) > 0 and (lod[-1] == ')' or lod[-1] == ']'):
                    lod.pop()
                    netce += Substring
                else:
                    lod.append(Substring)
                    netce += bi
            else:
                netce += self.ben[ez]

            if len(lod) > 0 and lod[-1] == Substring:
                lod.pop()

        return netce","class Ben:
    def __init__(self, ben):
        self.ben = ben

    def byern_ecb_biguheznin(self, Substring, bi):
        count = self.ben.count(Substring)
        if count % 2 == 0 or count == 0:
            return self.ben

        netce = """"
        lod = []

        for ez in range(len(self.ben)):
            if self.ben[ez:ez+len(Substring)] == Substring:
                if len(lod) > 0 and (lod[-1] == '(' or lod[-1] == '['):
                    lod.append(Substring)
                    netce += Substring
                ئەگەرنا_ئەگەر... len(lod) > 0 and (lod[-1] == ')' or lod[-1] == ']'):
                    lod.pop()
                    netce += Substring
                else:
                    lod.append(Substring)
                    netce += bi
            else:
                netce += self.ben[ez]

            if len(lod) > 0 and lod[-1] == Substring:
                lod.pop()

        return netce",0.4766299984018608,False,0.0,0.679698646068573,0.9974747474747475,0.4307606783890362
0,6,"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def has_digit_7(num):
    while num > 0:
        if num % 10 == 7:
            return True
        num //= 10
    return False

def sum_of_primes():
    sum_of_primes = 0
    for num in range(1000000, 2000001):
        if is_prime(num) and not has_digit_7(num):
            sum_of_primes += num
    return sum_of_primes

result = sum_of_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)","def Serokwezr_e(n_):
    if n_ <= 1:
        return False
    for ez in range(2, int(n_**0.5) + 1):
        if n_ % ez == 0:
            return False
    return True

def hejmar_7_heye(n_):
    while n_ > 0:
        if n_ % 10 == 7:
            return True
        n_ //= 10
    return False

def sum_primes():
    sum_primes = 0
    for n_ in range(1000000, 2000001):
        if Serokwezr_e(n_) and not hejmar_7_heye(n_):
            sum_primes += n_
    return sum_primes

netce = sum_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", netce)","def Serokwezr_e(n_):
    if n_ <= 1:
        return False
    for ez in range(2, int(n_**0.5) + 1):
        if n_ % ez == 0:
            return False
    return True

def hejmar_7_heye(n_):
    while n_ > 0:
        if n_ % 10 == 7:
            return True
        n_ //= 10
    return False

def sum_primes():
    sum_primes = 0
    for n_ in range(1000000, 2000001):
        if Serokwezr_e(n_) and not hejmar_7_heye(n_):
            sum_primes += n_
    return sum_primes

netce = sum_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", netce)",0.48673282839160087,True,0.5,0.9215992093086243,1.0,0.781666407540045
0,7,"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    while len(prime_sum_array) < N and current_number <= X:
        if is_prime(sum_so_far + current_number):
            prime_sum_array.append(current_number)
            sum_so_far += current_number
        current_number += M

    if not is_prime(sum_so_far):
        return []

    return prime_sum_array

# Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
print(result)","def Serokwezr_e(n_):
    if n_ < 2:
        return False
    for ez in range(2, int(n_ ** 0.5) + 1):
        if n_ % ez == 0:
            return False
    return True

def array_seroka_pn_bibnin(N, M, X):
    Serokwezr_Serokwezr = []
    Hejmara_hey = M
    heta_nuha = 0

    while len(Serokwezr_Serokwezr) < N and Hejmara_hey <= X:
        if Serokwezr_e(heta_nuha + Hejmara_hey):
            Serokwezr_Serokwezr.append(Hejmara_hey)
            heta_nuha += Hejmara_hey
        Hejmara_hey += M

    if not Serokwezr_e(heta_nuha):
        return []

    return Serokwezr_Serokwezr

   #Bikaranîna mînakî
N = 5
M = 3
X = 20

netce = array_seroka_pn_bibnin(N, M, X)
print(netce)","def Serokwezr_e(n_):
    if n_ < 2:
        return False
    for ez in range(2, int(n_ ** 0.5) + 1):
        if n_ % ez == 0:
            return False
    return True

def array_seroka_pn_bibnin(N, M, X):
    Serokwezr_Serokwezr = []
    Hejmara_hey = M
    heta_nuha = 0

    while len(Serokwezr_Serokwezr) < N and Hejmara_hey <= X:
        if Serokwezr_e(heta_nuha + Hejmara_hey):
            Serokwezr_Serokwezr.append(Hejmara_hey)
            heta_nuha += Hejmara_hey
        Hejmara_hey += M

    if not Serokwezr_e(heta_nuha):
        return []

    return Serokwezr_Serokwezr

    #Bikaranîna mînakî
N = 5
M = 3
X = 20

netce = array_seroka_pn_bibnin(N, M, X)
print(netce)",0.5141569938705167,True,0.5,0.4336669445037842,1.0,0.6895647876748602
0,8,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def max_prime_difference(arr):
    primes = []
    for num in arr:
        if is_prime(abs(num)):
            primes.append(abs(num))
    if len(primes) < 2:
        return 0
    max_diff = 0
    for i in range(len(primes)-1):
        diff = abs(primes[i] - primes[i+1])
        if diff > max_diff:
            max_diff = diff
    return max_diff","def Serokwezr_e(N):
    if N < 2:
        return False
    for ez in range(2, int(N**0.5) + 1):
        if N % ez == 0:
            return False
    return True

def Cdahiya_her_Max(tar):
    Primes = []
    for n_ in tar:
        if Serokwezr_e(abs(n_)):
            Primes.append(abs(n_))
    if len(Primes) < 2:
        return 0
    Max_diff = 0
    for ez in range(len(Primes)-1):
        cih = abs(Primes[ez] - Primes[ez+1])
        if cih > Max_diff:
            Max_diff = cih
    return Max_diff","def Serokwezr_e(N):
    if N < 2:
        return False
    for ez in range(2, int(N**0.5) + 1):
        if N % ez == 0:
            return False
    return True

def Cdahiya_her_Max(tar):
    Primes = []
    for n_ in tar:
        if Serokwezr_e(abs(n_)):
            Primes.append(abs(n_))
    if len(Primes) < 2:
        return 0
    Max_diff = 0
    for ez in range(len(Primes)-1):
        cih = abs(Primes[ez] - Primes[ez+1])
        if cih > Max_diff:
            Max_diff = cih
    return Max_diff",0.44275843266747267,True,0.5,0.7376480102539062,1.0,0.7360812885842758
0,9,"import math

def calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

    # Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

    # Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

    # Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

    # Calculate the final height of the triangle
    height += remaining_side_length

    return height


def simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True):
    # Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

    # Simulate the motion until the y-coordinate becomes negative (reached the ground)
    while y >= 0:
        # Calculate the acceleration due to air resistance
        if air_resistance:
            air_resistance_acceleration = -0.5 * vy**2  # Simplified model for air resistance
        else:
            air_resistance_acceleration = 0.0  # No air resistance

        # Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

        # Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

        # Increment the time
        time += time_interval

    return x, y, time


# Example usage
angle = 45  # Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
print(f""The height of the triangle is: {height}"")

initial_velocity = 10  # m/s
time_interval = 0.01  # seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True)
print(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","import Ziman_kann

def Dirjbna_sgoe_hesab_bikin(qoz, بەڕێوەبەرایەتیjahiya_al, Dirjahiya_berevaj, Rjeya_aliy):
       #Angle ji dereceyan veguherînin radians
    Angle_Rad = Ziman_kann.radis(qoz)

       #Bilindahiya bi karanîna qanûna gunehan hesab bike
    bilind = Dirjahiya_berevaj * Ziman_kann.gneh(Angle_Rad) / Rjeya_aliy

       #Dirêjahiya aliyek cîran bi karanîna zagona kozikan hesab bike
    Dirjahiya_algir = Ziman_kann.Sqrt(بەڕێوەبەرایەتیjahiya_al**2 + Dirjahiya_berevaj**2 - 2 * بەڕێوەبەرایەتیjahiya_al * Dirjahiya_berevaj * Ziman_kann.Cos(Angle_Rad))

       #Hîpotenuse ya sêgoşeyê hesab bikin
    Hyprotenuse = بەڕێوەبەرایەتیjahiya_al / Ziman_kann.Cos(Angle_Rad)

       #Li ser navê teorema pythagorean bi karanîna aliyekî mayî hesab bikin
    Dirjbna_aliy_may = Ziman_kann.Sqrt(Hyprotenuse**2 - Dirjahiya_algir**2)

       #Bilindahiya paşîn a sêgoşeyê hesab bike
    bilind += Dirjbna_aliy_may

    return bilind


def Tevgera_sgoe_siml_bikin(leza_destpk, qoz, interval_dema, Berxwedana_heway=True):
       #Guhertoyên destpêkê bikin
    x = 0.0
    y = 0.0
    dem = 0.0

       #Angle ji dereceyan veguherînin radians
    Angle_Rad = Ziman_kann.radis(qoz)

       #Leza destpêkê hesab bikin
    VX = leza_destpk * Ziman_kann.Cos(Angle_Rad)
    Vy = leza_destpk * Ziman_kann.gneh(Angle_Rad)

       #Heya ku koordînasyona Y_ya negatîf be (gihîştiye erdê) simûlkirin
    while y >= 0:
           #Ji ber berxwedana hewayê lezgîn hesab bikin
        if Berxwedana_heway:
            Accelerasyona_berxwedana_heway = -0.5 * Vy**2 #Modela hêsan ji bo berxwedana hewayê
        else:
            Accelerasyona_berxwedana_heway = 0.0 #Baweriya hewayê tune

           #Vebijarkên nû bi karanîna hevsengiyên kinematîk hesab bikin
        VX += Accelerasyona_berxwedana_heway * Ziman_kann.Cos(Angle_Rad) * interval_dema
        Vy += (-9.8 + Accelerasyona_berxwedana_heway * Ziman_kann.gneh(Angle_Rad)) * interval_dema

           #Helwesta nû bi karanîna wekheviyên kinematîk hesab bikin
        x += VX * interval_dema
        y += Vy * interval_dema

           #Wext zêde dibe
        dem += interval_dema

    return x, y, dem


   #Bikaranîna mînakî
qoz = 45 #Angle di derece
بەڕێوەبەرایەتیjahiya_al = 5
Dirjahiya_berevaj = 3
Rjeya_aliy = 2
bilind = Dirjbna_sgoe_hesab_bikin(qoz, بەڕێوەبەرایەتیjahiya_al, Dirjahiya_berevaj, Rjeya_aliy)
print(an""The height of the triangle is: {height}"")

leza_destpk = 10 #m / s
interval_dema = 0.01 #seconds
x, y, Demjimra_git = Tevgera_sgoe_siml_bikin(leza_destpk, qoz, interval_dema, Berxwedana_heway=True)
print(an""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","import Ziman_kann

def Dirjbna_sgoe_hesab_bikin(qoz, بەڕێوەبەرایەتیjahiya_al, Dirjahiya_berevaj, Rjeya_aliy):
        #Angle ji dereceyan veguherînin radians
    Angle_Rad = Ziman_kann.radis(qoz)

        #Bilindahiya bi karanîna qanûna gunehan hesab bike
    bilind = Dirjahiya_berevaj * Ziman_kann.gneh(Angle_Rad) / Rjeya_aliy

        #Dirêjahiya aliyek cîran bi karanîna zagona kozikan hesab bike
    Dirjahiya_algir = Ziman_kann.Sqrt(بەڕێوەبەرایەتیjahiya_al**2 + Dirjahiya_berevaj**2 - 2 * بەڕێوەبەرایەتیjahiya_al * Dirjahiya_berevaj * Ziman_kann.Cos(Angle_Rad))

        #Hîpotenuse ya sêgoşeyê hesab bikin
    Hyprotenuse = بەڕێوەبەرایەتیjahiya_al / Ziman_kann.Cos(Angle_Rad)

        #Li ser navê teorema pythagorean bi karanîna aliyekî mayî hesab bikin
    Dirjbna_aliy_may = Ziman_kann.Sqrt(Hyprotenuse**2 - Dirjahiya_algir**2)

        #Bilindahiya paşîn a sêgoşeyê hesab bike
    bilind += Dirjbna_aliy_may

    return bilind


def Tevgera_sgoe_siml_bikin(leza_destpk, qoz, interval_dema, Berxwedana_heway=True):
        #Guhertoyên destpêkê bikin
    x = 0.0
    y = 0.0
    dem = 0.0

        #Angle ji dereceyan veguherînin radians
    Angle_Rad = Ziman_kann.radis(qoz)

        #Leza destpêkê hesab bikin
    VX = leza_destpk * Ziman_kann.Cos(Angle_Rad)
    Vy = leza_destpk * Ziman_kann.gneh(Angle_Rad)

        #Heya ku koordînasyona Y_ya negatîf be (gihîştiye erdê) simûlkirin
    while y >= 0:
            #Ji ber berxwedana hewayê lezgîn hesab bikin
        if Berxwedana_heway:
            Accelerasyona_berxwedana_heway = -0.5 * Vy**2 #Modela hêsan ji bo berxwedana hewayê
        else:
            Accelerasyona_berxwedana_heway = 0.0 #Baweriya hewayê tune

            #Vebijarkên nû bi karanîna hevsengiyên kinematîk hesab bikin
        VX += Accelerasyona_berxwedana_heway * Ziman_kann.Cos(Angle_Rad) * interval_dema
        Vy += (-9.8 + Accelerasyona_berxwedana_heway * Ziman_kann.gneh(Angle_Rad)) * interval_dema

            #Helwesta nû bi karanîna wekheviyên kinematîk hesab bikin
        x += VX * interval_dema
        y += Vy * interval_dema

            #Wext zêde dibe
        dem += interval_dema

    return x, y, dem


    #Bikaranîna mînakî
qoz = 45 #Angle di derece
بەڕێوەبەرایەتیjahiya_al = 5
Dirjahiya_berevaj = 3
Rjeya_aliy = 2
bilind = Dirjbna_sgoe_hesab_bikin(qoz, بەڕێوەبەرایەتیjahiya_al, Dirjahiya_berevaj, Rjeya_aliy)
print(an""The height of the triangle is: {height}"")

leza_destpk = 10 #m / s
interval_dema = 0.01 #seconds
x, y, Demjimra_git = Tevgera_sgoe_siml_bikin(leza_destpk, qoz, interval_dema, Berxwedana_heway=True)
print(an""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")",0.2011032547519951,False,0.0,0.46001923084259033,0.7256296296296296,0.27735042304484303
0,10,"import math

def calculate_circle_area(radius):
    try:
        radius = float(radius)
        if radius <= 0:
            return ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        return ""{:.2f}"".format(area)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""","import Ziman_kann

def Qada_dorp_hesab_bikin(ap):
    try:
        ap = float(ap)
        if ap <= 0:
            return ""Error: Radius must be a positive number""
        dewer = Ziman_kann.pi * ap**2
        return ""{:.2f}"".format(dewer)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""","import Ziman_kann

def Qada_dorp_hesab_bikin(ap):
    try:
        ap = float(ap)
        if ap <= 0:
            return ""Error: Radius must be a positive number""
        dewer = Ziman_kann.pi * ap**2
        return ""{:.2f}"".format(dewer)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""",0.4426832749058366,True,0.5,0.6065798997879028,1.0,0.7098526349387478
