English_code,Partial_translated_code
"for i in range(10):  # First digit
    for j in range(10):  # Second digit
        for k in range(10):  # Third digit
            # Checking for the conditions
            if i != 5 and j != 5 and k != 5 and i != j and i != k and j != k:
                print(i, j, k)","بۆ i لەناو ڕێژە(10): #First digit
    بۆ j لەناو ڕێژە(10): #Second digit
        بۆ k لەناو ڕێژە(10): #Third digit
             #Checking for the conditions
            ئەگەر i != 5 و j != 5 و k != 5 و i != j و i != k و j != k:
                چاپکردن(i, j, k)"
"def count_distinct_states(matrix):
    count = 0
    states = set()
    for row in matrix:
        for col in row:
            state = ''.join(col)
            if state not in states:
                count += 1
            states.add(state)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(count_distinct_states(matrix))
# Output: 4","پێناسەکردن count_distinct_states(matrix):
    گێرانەوە = 0
    states = دانان()
    بۆ row لەناو matrix:
        بۆ col لەناو row:
            state = ''.پەیوەندیکردن(col)
            ئەگەر state نەخێر لەناو states:
                گێرانەوە += 1
            states.زیادکردن(state)
    گەڕانەوە گێرانەوە

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
چاپکردن(count_distinct_states(matrix))
 #Output: 4"
"def remove_spaces_and_punctuation(s):
    result = """"
    for char in s:
        if char.isalnum():
            result += char
    return result","پێناسەکردن remove_spaces_and_punctuation(s):
    result = """"
    بۆ char لەناو s:
        ئەگەر char.ئەلفوبێی_ژمارەییە():
            result += char
    گەڕانەوە result"
"import math

def is_prime(n):
    # Check if the number is less than 2 or not an integer
    if n < 2 or not isinstance(n, int):
        return ""Not Prime""

    # Check if the number is divisible by any integer from 2 to the square root of n
    for i in range(2, math.isqrt(n) + 1):
        if n % i == 0:
            return ""Not Prime""

    return ""Prime""","هاوردەکردن math

پێناسەکردن is_prime(n):
     #Check if the number is less than 2 or not an integer
    ئەگەر n < 2 یان نەخێر نموونەیە(n, ژمارەیەکی_تەواو):
        گەڕانەوە ""Not Prime""

     #Check if the number is divisible by any integer from 2 to the square root of n
    بۆ i لەناو ڕێژە(2, math.isqrt(n) + 1):
        ئەگەر n % i == 0:
            گەڕانەوە ""Not Prime""

    گەڕانەوە ""Prime"""
"class String:
    def __init__(self, string):
        self.string = string

    def replace_odd_occurrences(self, substring, replace_with):
        count = self.string.count(substring)
        if count % 2 == 0 or count == 0:
            return self.string

        result = """"
        stack = []

        for i in range(len(self.string)):
            if self.string[i:i+len(substring)] == substring:
                if len(stack) > 0 and (stack[-1] == '(' or stack[-1] == '['):
                    stack.append(substring)
                    result += substring
                elif len(stack) > 0 and (stack[-1] == ')' or stack[-1] == ']'):
                    stack.pop()
                    result += substring
                else:
                    stack.append(substring)
                    result += replace_with
            else:
                result += self.string[i]

            if len(stack) > 0 and stack[-1] == substring:
                stack.pop()

        return result","پۆل String:
    پێناسەکردن __init__(self, string):
        self.string = string

    پێناسەکردن replace_odd_occurrences(self, substring, replace_with):
        گێرانەوە = self.string.گێرانەوە(substring)
        ئەگەر گێرانەوە % 2 == 0 یان گێرانەوە == 0:
            گەڕانەوە self.string

        result = """"
        stack = []

        بۆ i لەناو ڕێژە(درێژی(self.string)):
            ئەگەر self.string[i:i+درێژی(substring)] == substring:
                ئەگەر درێژی(stack) > 0 و (stack[-1] == '(' یان stack[-1] == '['):
                    stack.زیاد_بکە(substring)
                    result += substring
                ئەگەرنا_ئەگەر... درێژی(stack) > 0 و (stack[-1] == ')' یان stack[-1] == ']'):
                    stack.پۆپ()
                    result += substring
                ئی_تر:
                    stack.زیاد_بکە(substring)
                    result += replace_with
            ئی_تر:
                result += self.string[i]

            ئەگەر درێژی(stack) > 0 و stack[-1] == substring:
                stack.پۆپ()

        گەڕانەوە result"
"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def has_digit_7(num):
    while num > 0:
        if num % 10 == 7:
            return True
        num //= 10
    return False

def sum_of_primes():
    sum_of_primes = 0
    for num in range(1000000, 2000001):
        if is_prime(num) and not has_digit_7(num):
            sum_of_primes += num
    return sum_of_primes

result = sum_of_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)","پێناسەکردن is_prime(num):
    ئەگەر num <= 1:
        گەڕانەوە هەڵە
    بۆ i لەناو ڕێژە(2, ژمارەیەکی_تەواو(num**0.5) + 1):
        ئەگەر num % i == 0:
            گەڕانەوە هەڵە
    گەڕانەوە ڕاست

پێناسەکردن has_digit_7(num):
    لەکاتێکدا num > 0:
        ئەگەر num % 10 == 7:
            گەڕانەوە ڕاست
        num //= 10
    گەڕانەوە هەڵە

پێناسەکردن sum_of_primes():
    sum_of_primes = 0
    بۆ num لەناو ڕێژە(1000000, 2000001):
        ئەگەر is_prime(num) و نەخێر has_digit_7(num):
            sum_of_primes += num
    گەڕانەوە sum_of_primes

result = sum_of_primes()
چاپکردن(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)"
"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    while len(prime_sum_array) < N and current_number <= X:
        if is_prime(sum_so_far + current_number):
            prime_sum_array.append(current_number)
            sum_so_far += current_number
        current_number += M

    if not is_prime(sum_so_far):
        return []

    return prime_sum_array

# Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
print(result)","پێناسەکردن is_prime(num):
    ئەگەر num < 2:
        گەڕانەوە هەڵە
    بۆ i لەناو ڕێژە(2, ژمارەیەکی_تەواو(num ** 0.5) + 1):
        ئەگەر num % i == 0:
            گەڕانەوە هەڵە
    گەڕانەوە ڕاست

پێناسەکردن find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    لەکاتێکدا درێژی(prime_sum_array) < N و current_number <= X:
        ئەگەر is_prime(sum_so_far + current_number):
            prime_sum_array.زیاد_بکە(current_number)
            sum_so_far += current_number
        current_number += M

    ئەگەر نەخێر is_prime(sum_so_far):
        گەڕانەوە []

    گەڕانەوە prime_sum_array

 #Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
چاپکردن(result)"
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def max_prime_difference(arr):
    primes = []
    for num in arr:
        if is_prime(abs(num)):
            primes.append(abs(num))
    if len(primes) < 2:
        return 0
    max_diff = 0
    for i in range(len(primes)-1):
        diff = abs(primes[i] - primes[i+1])
        if diff > max_diff:
            max_diff = diff
    return max_diff","پێناسەکردن is_prime(n):
    ئەگەر n < 2:
        گەڕانەوە هەڵە
    بۆ i لەناو ڕێژە(2, ژمارەیەکی_تەواو(n**0.5) + 1):
        ئەگەر n % i == 0:
            گەڕانەوە هەڵە
    گەڕانەوە ڕاست

پێناسەکردن max_prime_difference(arr):
    primes = []
    بۆ num لەناو arr:
        ئەگەر is_prime(بەهای_ڕەها(num)):
            primes.زیاد_بکە(بەهای_ڕەها(num))
    ئەگەر درێژی(primes) < 2:
        گەڕانەوە 0
    max_diff = 0
    بۆ i لەناو ڕێژە(درێژی(primes)-1):
        diff = بەهای_ڕەها(primes[i] - primes[i+1])
        ئەگەر diff > max_diff:
            max_diff = diff
    گەڕانەوە max_diff"
"import math

def calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

    # Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

    # Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

    # Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

    # Calculate the final height of the triangle
    height += remaining_side_length

    return height


def simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True):
    # Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

    # Simulate the motion until the y-coordinate becomes negative (reached the ground)
    while y >= 0:
        # Calculate the acceleration due to air resistance
        if air_resistance:
            air_resistance_acceleration = -0.5 * vy**2  # Simplified model for air resistance
        else:
            air_resistance_acceleration = 0.0  # No air resistance

        # Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

        # Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

        # Increment the time
        time += time_interval

    return x, y, time


# Example usage
angle = 45  # Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
print(f""The height of the triangle is: {height}"")

initial_velocity = 10  # m/s
time_interval = 0.01  # seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True)
print(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","هاوردەکردن math

پێناسەکردن calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

     #Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

     #Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

     #Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

     #Calculate the final height of the triangle
    height += remaining_side_length

    گەڕانەوە height


پێناسەکردن simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=ڕاست):
     #Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

     #Simulate the motion until the y-coordinate becomes negative (reached the ground)
    لەکاتێکدا y >= 0:
         #Calculate the acceleration due to air resistance
        ئەگەر air_resistance:
            air_resistance_acceleration = -0.5 * vy**2 #Simplified model for air resistance
        ئی_تر:
            air_resistance_acceleration = 0.0 #No air resistance

         #Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

         #Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

         #Increment the time
        time += time_interval

    گەڕانەوە x, y, time


 #Example usage
angle = 45 #Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
چاپکردن(f""The height of the triangle is: {height}"")

initial_velocity = 10 #m/s
time_interval = 0.01 #seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=ڕاست)
چاپکردن(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")"
"import math

def calculate_circle_area(radius):
    try:
        radius = float(radius)
        if radius <= 0:
            return ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        return ""{:.2f}"".format(area)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""","هاوردەکردن math

پێناسەکردن calculate_circle_area(radius):
    هەوڵدان:
        radius = خاڵی_هەڵدەفڕێت(radius)
        ئەگەر radius <= 0:
            گەڕانەوە ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        گەڕانەوە ""{:.2f}"".فۆرمات(area)
    جگە_لە هەڵەی_بەها:
        گەڕانەوە ""Error: Invalid input. Radius must be a number"""
