English_code,Partial_translated_code,google_back_translated_code
"for i in range(10):  # First digit
    for j in range(10):  # Second digit
        for k in range(10):  # Third digit
            # Checking for the conditions
            if i != 5 and j != 5 and k != 5 and i != j and i != k and j != k:
                print(i, j, k)","paraca i interno range(10): #Primer dígito
    paraca j interno range(10): #Segundo dígito
        paraca k interno range(10): #Tercer dígito
               #Verificar las condiciones
            if i != 5 Y j != 5 Y k != 5 Y i != j Y i != k Y j != k:
                print(i, j, k)","paraca i interno range(10): #Primer dígito
    paraca j interno range(10): #Segundo dígito
        paraca k interno range(10): #Tercer dígito
                #Verificar las condiciones
            if i != 5 Y j != 5 Y k != 5 Y i != j Y i != k Y j != k:
                print(i, j, k)"
"def count_distinct_states(matrix):
    count = 0
    states = set()
    for row in matrix:
        for col in row:
            state = ''.join(col)
            if state not in states:
                count += 1
            states.add(state)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(count_distinct_states(matrix))
# Output: 4","def Cuente_estados_distintos(matriz):
    contagiar = 0
    estados = Conjunto()
    paraca fila interno matriz:
        paraca columna interno fila:
            estado = ''.join(columna)
            if estado No interno estados:
                contagiar += 1
            estados.acordante(estado)
    retornor contagiar

matriz = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(Cuente_estados_distintos(matriz))
   #Salida: 4","def Cuente_estados_distintos(matriz):
    contagiar = 0
    estados = Conjunto()
    paraca fila interno matriz:
        paraca columna interno fila:
            estado = ''.join(columna)
            if estado No interno estados:
                contagiar += 1
            estados.acordante(estado)
    retornor contagiar

matriz = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(Cuente_estados_distintos(matriz))
    #Salida: 4"
"def remove_spaces_and_punctuation(s):
    result = """"
    for char in s:
        if char.isalnum():
            result += char
    return result","def eliminar_espacios_y_puntuación(s):
    resultado = """"
    paraca carbonizarse interno s:
        if carbonizarse.isalnum():
            resultado += carbonizarse
    retornor resultado","def eliminar_espacios_y_puntuación(s):
    resultado = """"
    paraca carbonizarse interno s:
        if carbonizarse.isalnum():
            resultado += carbonizarse
    retornor resultado"
"import math

def is_prime(n):
    # Check if the number is less than 2 or not an integer
    if n < 2 or not isinstance(n, int):
        return ""Not Prime""

    # Check if the number is divisible by any integer from 2 to the square root of n
    for i in range(2, math.isqrt(n) + 1):
        if n % i == 0:
            return ""Not Prime""

    return ""Prime""","importante matemáticas

def es_primo(norte):
       #Verifique si el número es inferior a 2 o no un entero
    if norte < 2 O No ES_Instancia(norte, int):
        retornor ""Not Prime""

       #Compruebe si el número es divisible por cualquier número entero de 2 a la raíz cuadrada de n
    paraca i interno range(2, matemáticas.ISQRT(norte) + 1):
        if norte % i == 0:
            retornor ""Not Prime""

    retornor ""Prime""","importante matemáticas

def es_primo(norte):
        #Verifique si el número es inferior a 2 o no un entero
    if norte < 2 O No ES_Instancia(norte, int):
        retornor ""Not Prime""

        #Compruebe si el número es divisible por cualquier número entero de 2 a la raíz cuadrada de n
    paraca i interno range(2, matemáticas.ISQRT(norte) + 1):
        if norte % i == 0:
            retornor ""Not Prime""

    retornor ""Prime"""
"class String:
    def __init__(self, string):
        self.string = string

    def replace_odd_occurrences(self, substring, replace_with):
        count = self.string.count(substring)
        if count % 2 == 0 or count == 0:
            return self.string

        result = """"
        stack = []

        for i in range(len(self.string)):
            if self.string[i:i+len(substring)] == substring:
                if len(stack) > 0 and (stack[-1] == '(' or stack[-1] == '['):
                    stack.append(substring)
                    result += substring
                elif len(stack) > 0 and (stack[-1] == ')' or stack[-1] == ']'):
                    stack.pop()
                    result += substring
                else:
                    stack.append(substring)
                    result += replace_with
            else:
                result += self.string[i]

            if len(stack) > 0 and stack[-1] == substring:
                stack.pop()

        return result","class Cadena:
    def __init__(self, str):
        self.str = str

    def reemplazar_ocurrencias_impares(self, subconocencia, reemplazar_con):
        contagiar = self.str.contagiar(subconocencia)
        if contagiar % 2 == 0 O contagiar == 0:
            retornor self.str

        resultado = """"
        pila = []

        paraca i interno range(len(self.str)):
            if self.str[i:i+len(subconocencia)] == subconocencia:
                if len(pila) > 0 Y (pila[-1] == '(' O pila[-1] == '['):
                    pila.adjunto(subconocencia)
                    resultado += subconocencia
                Sino_Si len(pila) > 0 Y (pila[-1] == ')' O pila[-1] == ']'):
                    pila.pop()
                    resultado += subconocencia
                china:
                    pila.adjunto(subconocencia)
                    resultado += reemplazar_con
            china:
                resultado += self.str[i]

            if len(pila) > 0 Y pila[-1] == subconocencia:
                pila.pop()

        retornor resultado","class Cadena:
    def __init__(self, str):
        self.str = str

    def reemplazar_ocurrencias_impares(self, subconocencia, reemplazar_con):
        contagiar = self.str.contagiar(subconocencia)
        if contagiar % 2 == 0 O contagiar == 0:
            retornor self.str

        resultado = """"
        pila = []

        paraca i interno range(len(self.str)):
            if self.str[i:i+len(subconocencia)] == subconocencia:
                if len(pila) > 0 Y (pila[-1] == '(' O pila[-1] == '['):
                    pila.adjunto(subconocencia)
                    resultado += subconocencia
                Sino_Si len(pila) > 0 Y (pila[-1] == ')' O pila[-1] == ']'):
                    pila.pop()
                    resultado += subconocencia
                china:
                    pila.adjunto(subconocencia)
                    resultado += reemplazar_con
            china:
                resultado += self.str[i]

            if len(pila) > 0 Y pila[-1] == subconocencia:
                pila.pop()

        retornor resultado"
"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def has_digit_7(num):
    while num > 0:
        if num % 10 == 7:
            return True
        num //= 10
    return False

def sum_of_primes():
    sum_of_primes = 0
    for num in range(1000000, 2000001):
        if is_prime(num) and not has_digit_7(num):
            sum_of_primes += num
    return sum_of_primes

result = sum_of_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)","def es_primo(numer):
    if numer <= 1:
        retornor Falso
    paraca i interno range(2, int(numer**0.5) + 1):
        if numer % i == 0:
            retornor Falso
    retornor True

def tiene_dígito_7(numer):
    Mientras numer > 0:
        if numer % 10 == 7:
            retornor True
        numer //= 10
    retornor Falso

def suma_de_primos():
    suma_de_primos = 0
    paraca numer interno range(1000000, 2000001):
        if es_primo(numer) Y No tiene_dígito_7(numer):
            suma_de_primos += numer
    retornor suma_de_primos

resultado = suma_de_primos()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", resultado)","def es_primo(numer):
    if numer <= 1:
        retornor Falso
    paraca i interno range(2, int(numer**0.5) + 1):
        if numer % i == 0:
            retornor Falso
    retornor True

def tiene_dígito_7(numer):
    Mientras numer > 0:
        if numer % 10 == 7:
            retornor True
        numer //= 10
    retornor Falso

def suma_de_primos():
    suma_de_primos = 0
    paraca numer interno range(1000000, 2000001):
        if es_primo(numer) Y No tiene_dígito_7(numer):
            suma_de_primos += numer
    retornor suma_de_primos

resultado = suma_de_primos()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", resultado)"
"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    while len(prime_sum_array) < N and current_number <= X:
        if is_prime(sum_so_far + current_number):
            prime_sum_array.append(current_number)
            sum_so_far += current_number
        current_number += M

    if not is_prime(sum_so_far):
        return []

    return prime_sum_array

# Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
print(result)","def es_primo(numer):
    if numer < 2:
        retornor Falso
    paraca i interno range(2, int(numer ** 0.5) + 1):
        if numer % i == 0:
            retornor Falso
    retornor True

def Encuentra_la_matriz_de_suma_primaria(norte, METRO, incógnita):
    matriz_de_suma_de_primera_categoría = []
    número_actual = METRO
    suma_hasta_ahora = 0

    Mientras len(matriz_de_suma_de_primera_categoría) < norte Y número_actual <= incógnita:
        if es_primo(suma_hasta_ahora + número_actual):
            matriz_de_suma_de_primera_categoría.adjunto(número_actual)
            suma_hasta_ahora += número_actual
        número_actual += METRO

    if No es_primo(suma_hasta_ahora):
        retornor []

    retornor matriz_de_suma_de_primera_categoría

   #Uso de ejemplo
norte = 5
METRO = 3
incógnita = 20

resultado = Encuentra_la_matriz_de_suma_primaria(norte, METRO, incógnita)
print(resultado)","def es_primo(numer):
    if numer < 2:
        retornor Falso
    paraca i interno range(2, int(numer ** 0.5) + 1):
        if numer % i == 0:
            retornor Falso
    retornor True

def Encuentra_la_matriz_de_suma_primaria(norte, METRO, incógnita):
    matriz_de_suma_de_primera_categoría = []
    número_actual = METRO
    suma_hasta_ahora = 0

    Mientras len(matriz_de_suma_de_primera_categoría) < norte Y número_actual <= incógnita:
        if es_primo(suma_hasta_ahora + número_actual):
            matriz_de_suma_de_primera_categoría.adjunto(número_actual)
            suma_hasta_ahora += número_actual
        número_actual += METRO

    if No es_primo(suma_hasta_ahora):
        retornor []

    retornor matriz_de_suma_de_primera_categoría

    #Uso de ejemplo
norte = 5
METRO = 3
incógnita = 20

resultado = Encuentra_la_matriz_de_suma_primaria(norte, METRO, incógnita)
print(resultado)"
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def max_prime_difference(arr):
    primes = []
    for num in arr:
        if is_prime(abs(num)):
            primes.append(abs(num))
    if len(primes) < 2:
        return 0
    max_diff = 0
    for i in range(len(primes)-1):
        diff = abs(primes[i] - primes[i+1])
        if diff > max_diff:
            max_diff = diff
    return max_diff","def es_primo(norte):
    if norte < 2:
        retornor Falso
    paraca i interno range(2, int(norte**0.5) + 1):
        if norte % i == 0:
            retornor Falso
    retornor True

def Max_principal_diferencia(arrugado):
    Primes = []
    paraca numer interno arrugado:
        if es_primo(abs(numer)):
            Primes.adjunto(abs(numer))
    if len(Primes) < 2:
        retornor 0
    Max_Diff = 0
    paraca i interno range(len(Primes)-1):
        difference = abs(Primes[i] - Primes[i+1])
        if difference > Max_Diff:
            Max_Diff = difference
    retornor Max_Diff","def es_primo(norte):
    if norte < 2:
        retornor Falso
    paraca i interno range(2, int(norte**0.5) + 1):
        if norte % i == 0:
            retornor Falso
    retornor True

def Max_principal_diferencia(arrugado):
    Primes = []
    paraca numer interno arrugado:
        if es_primo(abs(numer)):
            Primes.adjunto(abs(numer))
    if len(Primes) < 2:
        retornor 0
    Max_Diff = 0
    paraca i interno range(len(Primes)-1):
        difference = abs(Primes[i] - Primes[i+1])
        if difference > Max_Diff:
            Max_Diff = difference
    retornor Max_Diff"
"import math

def calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

    # Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

    # Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

    # Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

    # Calculate the final height of the triangle
    height += remaining_side_length

    return height


def simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True):
    # Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

    # Simulate the motion until the y-coordinate becomes negative (reached the ground)
    while y >= 0:
        # Calculate the acceleration due to air resistance
        if air_resistance:
            air_resistance_acceleration = -0.5 * vy**2  # Simplified model for air resistance
        else:
            air_resistance_acceleration = 0.0  # No air resistance

        # Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

        # Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

        # Increment the time
        time += time_interval

    return x, y, time


# Example usage
angle = 45  # Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
print(f""The height of the triangle is: {height}"")

initial_velocity = 10  # m/s
time_interval = 0.01  # seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True)
print(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","importante matemáticas

def Calcular_la_altura_del_triángulo(ángulo, longitudes_laterales, longitud_del_lado_opuesto, relación):
       #Convertir ángulo de grados a radianes
    ángulo_rad = matemáticas.radianes(ángulo)

       #Calcule la altura utilizando la Ley de Senes
    altura = longitud_del_lado_opuesto * matemáticas.pecado(ángulo_rad) / relación

       #Calcule la longitud del lado adyacente utilizando la ley de los cosenos
    longitud_lateral_adyacente = matemáticas.sqrt(longitudes_laterales**2 + longitud_del_lado_opuesto**2 - 2 * longitudes_laterales * longitud_del_lado_opuesto * matemáticas.costilla(ángulo_rad))

       #Calcule la hipotenusa del triángulo
    hipotenusa = longitudes_laterales / matemáticas.costilla(ángulo_rad)

       #Calcule el lado restante usando el teorema de Pitágoras
    Longitud_lateral_restante = matemáticas.sqrt(hipotenusa**2 - longitud_lateral_adyacente**2)

       #Calcule la altura final del triángulo
    altura += Longitud_lateral_restante

    retornor altura


def Simular_el_movimiento_del_triángulo(velocidad_inicial, ángulo, intervalo_de_tiempo, resistencia_al_aire=True):
       #Inicializar variables
    incógnita = 0.0
    and = 0.0
    tiempo = 0.0

       #Convertir ángulo de grados a radianes
    ángulo_rad = matemáticas.radianes(ángulo)

       #Calcular las velocidades iniciales
    VX = velocidad_inicial * matemáticas.costilla(ángulo_rad)
    vy = velocidad_inicial * matemáticas.pecado(ángulo_rad)

       #Simule el movimiento hasta que la coordenada y se vuelva negativa (llegó al suelo)
    Mientras and >= 0:
           #Calcule la aceleración debido a la resistencia al aire
        if resistencia_al_aire:
            aceleración_de_resistencia_al_aire = -0.5 * vy**2 #Modelo simplificado para la resistencia al aire
        china:
            aceleración_de_resistencia_al_aire = 0.0 #Sin resistencia al aire

           #Calcule las nuevas velocidades utilizando las ecuaciones cinemáticas
        VX += aceleración_de_resistencia_al_aire * matemáticas.costilla(ángulo_rad) * intervalo_de_tiempo
        vy += (-9.8 + aceleración_de_resistencia_al_aire * matemáticas.pecado(ángulo_rad)) * intervalo_de_tiempo

           #Calcule la nueva posición utilizando las ecuaciones cinemáticas
        incógnita += VX * intervalo_de_tiempo
        and += vy * intervalo_de_tiempo

           #Incrementa el tiempo
        tiempo += intervalo_de_tiempo

    retornor incógnita, and, tiempo


   #Uso de ejemplo
ángulo = 45 #Ángulo en grados
longitudes_laterales = 5
longitud_del_lado_opuesto = 3
relación = 2
altura = Calcular_la_altura_del_triángulo(ángulo, longitudes_laterales, longitud_del_lado_opuesto, relación)
print(F""The height of the triangle is: {height}"")

velocidad_inicial = 10 #EM
intervalo_de_tiempo = 0.01 #artículos de segunda clase
incógnita, and, tiempo_total = Simular_el_movimiento_del_triángulo(velocidad_inicial, ángulo, intervalo_de_tiempo, resistencia_al_aire=True)
print(F""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","importante matemáticas

def Calcular_la_altura_del_triángulo(ángulo, longitudes_laterales, longitud_del_lado_opuesto, relación):
        #Convertir ángulo de grados a radianes
    ángulo_rad = matemáticas.radianes(ángulo)

        #Calcule la altura utilizando la Ley de Senes
    altura = longitud_del_lado_opuesto * matemáticas.pecado(ángulo_rad) / relación

        #Calcule la longitud del lado adyacente utilizando la ley de los cosenos
    longitud_lateral_adyacente = matemáticas.sqrt(longitudes_laterales**2 + longitud_del_lado_opuesto**2 - 2 * longitudes_laterales * longitud_del_lado_opuesto * matemáticas.costilla(ángulo_rad))

        #Calcule la hipotenusa del triángulo
    hipotenusa = longitudes_laterales / matemáticas.costilla(ángulo_rad)

        #Calcule el lado restante usando el teorema de Pitágoras
    Longitud_lateral_restante = matemáticas.sqrt(hipotenusa**2 - longitud_lateral_adyacente**2)

        #Calcule la altura final del triángulo
    altura += Longitud_lateral_restante

    retornor altura


def Simular_el_movimiento_del_triángulo(velocidad_inicial, ángulo, intervalo_de_tiempo, resistencia_al_aire=True):
        #Inicializar variables
    incógnita = 0.0
    and = 0.0
    tiempo = 0.0

        #Convertir ángulo de grados a radianes
    ángulo_rad = matemáticas.radianes(ángulo)

        #Calcular las velocidades iniciales
    VX = velocidad_inicial * matemáticas.costilla(ángulo_rad)
    vy = velocidad_inicial * matemáticas.pecado(ángulo_rad)

        #Simule el movimiento hasta que la coordenada y se vuelva negativa (llegó al suelo)
    Mientras and >= 0:
            #Calcule la aceleración debido a la resistencia al aire
        if resistencia_al_aire:
            aceleración_de_resistencia_al_aire = -0.5 * vy**2 #Modelo simplificado para la resistencia al aire
        china:
            aceleración_de_resistencia_al_aire = 0.0 #Sin resistencia al aire

            #Calcule las nuevas velocidades utilizando las ecuaciones cinemáticas
        VX += aceleración_de_resistencia_al_aire * matemáticas.costilla(ángulo_rad) * intervalo_de_tiempo
        vy += (-9.8 + aceleración_de_resistencia_al_aire * matemáticas.pecado(ángulo_rad)) * intervalo_de_tiempo

            #Calcule la nueva posición utilizando las ecuaciones cinemáticas
        incógnita += VX * intervalo_de_tiempo
        and += vy * intervalo_de_tiempo

            #Incrementa el tiempo
        tiempo += intervalo_de_tiempo

    retornor incógnita, and, tiempo


    #Uso de ejemplo
ángulo = 45 #Ángulo en grados
longitudes_laterales = 5
longitud_del_lado_opuesto = 3
relación = 2
altura = Calcular_la_altura_del_triángulo(ángulo, longitudes_laterales, longitud_del_lado_opuesto, relación)
print(F""The height of the triangle is: {height}"")

velocidad_inicial = 10 #EM
intervalo_de_tiempo = 0.01 #artículos de segunda clase
incógnita, and, tiempo_total = Simular_el_movimiento_del_triángulo(velocidad_inicial, ángulo, intervalo_de_tiempo, resistencia_al_aire=True)
print(F""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")"
"import math

def calculate_circle_area(radius):
    try:
        radius = float(radius)
        if radius <= 0:
            return ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        return ""{:.2f}"".format(area)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""","importante matemáticas

def Calcular_el_área_del_círculo(radio):
    try:
        radio = Punto_Flotante(radio)
        if radio <= 0:
            retornor ""Error: Radius must be a positive number""
        área = matemáticas.pi * radio**2
        retornor ""{:.2f}"".format(área)
    except Error Delaware valor:
        retornor ""Error: Invalid input. Radius must be a number""","importante matemáticas

def Calcular_el_área_del_círculo(radio):
    try:
        radio = Punto_Flotante(radio)
        if radio <= 0:
            retornor ""Error: Radius must be a positive number""
        área = matemáticas.pi * radio**2
        retornor ""{:.2f}"".format(área)
    except Error Delaware valor:
        retornor ""Error: Invalid input. Radius must be a number"""
