English_code,Partial_translated_code,google_translated_code
"for i in range(10):  # First digit
    for j in range(10):  # Second digit
        for k in range(10):  # Third digit
            # Checking for the conditions
            if i != 5 and j != 5 and k != 5 and i != j and i != k and j != k:
                print(i, j, k)","para i en rango(10): #First digit
    para j en rango(10): #Second digit
        para k en rango(10): #Third digit
             #Checking for the conditions
            si i != 5 y j != 5 y k != 5 y i != j y i != k y j != k:
                imprimir(i, j, k)","paraca i interno rango(10): # Primer dígito
    paraca j interno rango(10): # Segundo dígito
        paraca k interno rango(10): # Tercer dígito
              # Verificar las condiciones
            si i != 5 Y j != 5 Y k != 5 Y i != j Y i != k Y j != k:
                imprimir(i, j, k)"
"def count_distinct_states(matrix):
    count = 0
    states = set()
    for row in matrix:
        for col in row:
            state = ''.join(col)
            if state not in states:
                count += 1
            states.add(state)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(count_distinct_states(matrix))
# Output: 4","definir count_distinct_states(matrix):
    contar = 0
    states = conjunto()
    para row en matrix:
        para col en row:
            state = ''.unir(col)
            si state no en states:
                contar += 1
            states.agregar(state)
    retornar contar

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
imprimir(count_distinct_states(matrix))
 #Output: 4","definir Cuente_estados_distintos(matriz):
    contagiar = 0
    estados = Conjunto()
    paraca fila interno matriz:
        paraca columna interno fila:
            estado = ''.unir(columna)
            si estado No interno estados:
                contagiar += 1
            estados.acordante(estado)
    retornor contagiar

matriz = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
imprimir(Cuente_estados_distintos(matriz))
  # Salida: 4"
"def remove_spaces_and_punctuation(s):
    result = """"
    for char in s:
        if char.isalnum():
            result += char
    return result","definir remove_spaces_and_punctuation(s):
    result = """"
    para char en s:
        si char.es_alfanumérico():
            result += char
    retornar result","definir eliminar_espacios_y_puntuación(s):
    resultado = """"
    paraca carbonizarse interno s:
        si carbonizarse.es_alfanumérico():
            resultado += carbonizarse
    retornor resultado"
"import math

def is_prime(n):
    # Check if the number is less than 2 or not an integer
    if n < 2 or not isinstance(n, int):
        return ""Not Prime""

    # Check if the number is divisible by any integer from 2 to the square root of n
    for i in range(2, math.isqrt(n) + 1):
        if n % i == 0:
            return ""Not Prime""

    return ""Prime""","importar math

definir is_prime(n):
     #Check if the number is less than 2 or not an integer
    si n < 2 o no es_instancia(n, entero):
        retornar ""Not Prime""

     #Check if the number is divisible by any integer from 2 to the square root of n
    para i en rango(2, math.isqrt(n) + 1):
        si n % i == 0:
            retornar ""Not Prime""

    retornar ""Prime""","importante matemáticas

definir es_primo(norte):
      # Verifique si el número es inferior a 2 o no un entero
    si norte < 2 O No ES_Instancia(norte, entero):
        retornor ""Not Prime""

      # Compruebe si el número es divisible por cualquier número entero de 2 a la raíz cuadrada de n
    paraca i interno rango(2, matemáticas.ISQRT(norte) + 1):
        si norte % i == 0:
            retornor ""Not Prime""

    retornor ""Prime"""
"class String:
    def __init__(self, string):
        self.string = string

    def replace_odd_occurrences(self, substring, replace_with):
        count = self.string.count(substring)
        if count % 2 == 0 or count == 0:
            return self.string

        result = """"
        stack = []

        for i in range(len(self.string)):
            if self.string[i:i+len(substring)] == substring:
                if len(stack) > 0 and (stack[-1] == '(' or stack[-1] == '['):
                    stack.append(substring)
                    result += substring
                elif len(stack) > 0 and (stack[-1] == ')' or stack[-1] == ']'):
                    stack.pop()
                    result += substring
                else:
                    stack.append(substring)
                    result += replace_with
            else:
                result += self.string[i]

            if len(stack) > 0 and stack[-1] == substring:
                stack.pop()

        return result","clase String:
    definir __init__(self, string):
        self.string = string

    definir replace_odd_occurrences(self, substring, replace_with):
        contar = self.string.contar(substring)
        si contar % 2 == 0 o contar == 0:
            retornar self.string

        result = """"
        stack = []

        para i en rango(longitud(self.string)):
            si self.string[i:i+longitud(substring)] == substring:
                si longitud(stack) > 0 y (stack[-1] == '(' o stack[-1] == '['):
                    stack.adjuntar(substring)
                    result += substring
                sino_si longitud(stack) > 0 y (stack[-1] == ')' o stack[-1] == ']'):
                    stack.retirar()
                    result += substring
                sino:
                    stack.adjuntar(substring)
                    result += replace_with
            sino:
                result += self.string[i]

            si longitud(stack) > 0 y stack[-1] == substring:
                stack.retirar()

        retornar result","clase Cadena:
    definir __init__(self, cadena):
        self.cadena = cadena

    definir reemplazar_ocurrencias_impares(self, subconocencia, reemplazar_con):
        contagiar = self.cadena.contagiar(subconocencia)
        si contagiar % 2 == 0 O contagiar == 0:
            retornor self.cadena

        resultado = """"
        pila = []

        paraca i interno rango(longitud(self.cadena)):
            si self.cadena[i:i+longitud(subconocencia)] == subconocencia:
                si longitud(pila) > 0 Y (pila[-1] == '(' O pila[-1] == '['):
                    pila.adjunto(subconocencia)
                    resultado += subconocencia
                Sino_Si longitud(pila) > 0 Y (pila[-1] == ')' O pila[-1] == ']'):
                    pila.retirar()
                    resultado += subconocencia
                china:
                    pila.adjunto(subconocencia)
                    resultado += reemplazar_con
            china:
                resultado += self.cadena[i]

            si longitud(pila) > 0 Y pila[-1] == subconocencia:
                pila.retirar()

        retornor resultado"
"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def has_digit_7(num):
    while num > 0:
        if num % 10 == 7:
            return True
        num //= 10
    return False

def sum_of_primes():
    sum_of_primes = 0
    for num in range(1000000, 2000001):
        if is_prime(num) and not has_digit_7(num):
            sum_of_primes += num
    return sum_of_primes

result = sum_of_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)","definir is_prime(num):
    si num <= 1:
        retornar FALSO
    para i en rango(2, entero(num**0.5) + 1):
        si num % i == 0:
            retornar FALSO
    retornar Verdadero

definir has_digit_7(num):
    mientras num > 0:
        si num % 10 == 7:
            retornar Verdadero
        num //= 10
    retornar FALSO

definir sum_of_primes():
    sum_of_primes = 0
    para num en rango(1000000, 2000001):
        si is_prime(num) y no has_digit_7(num):
            sum_of_primes += num
    retornar sum_of_primes

result = sum_of_primes()
imprimir(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)","definir es_primo(numer):
    si numer <= 1:
        retornor Falso
    paraca i interno rango(2, entero(numer**0.5) + 1):
        si numer % i == 0:
            retornor Falso
    retornor Verdadero

definir tiene_dígito_7(numer):
    Mientras numer > 0:
        si numer % 10 == 7:
            retornor Verdadero
        numer //= 10
    retornor Falso

definir suma_de_primos():
    suma_de_primos = 0
    paraca numer interno rango(1000000, 2000001):
        si es_primo(numer) Y No tiene_dígito_7(numer):
            suma_de_primos += numer
    retornor suma_de_primos

resultado = suma_de_primos()
imprimir(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", resultado)"
"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    while len(prime_sum_array) < N and current_number <= X:
        if is_prime(sum_so_far + current_number):
            prime_sum_array.append(current_number)
            sum_so_far += current_number
        current_number += M

    if not is_prime(sum_so_far):
        return []

    return prime_sum_array

# Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
print(result)","definir is_prime(num):
    si num < 2:
        retornar FALSO
    para i en rango(2, entero(num ** 0.5) + 1):
        si num % i == 0:
            retornar FALSO
    retornar Verdadero

definir find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    mientras longitud(prime_sum_array) < N y current_number <= X:
        si is_prime(sum_so_far + current_number):
            prime_sum_array.adjuntar(current_number)
            sum_so_far += current_number
        current_number += M

    si no is_prime(sum_so_far):
        retornar []

    retornar prime_sum_array

 #Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
imprimir(result)","definir es_primo(numer):
    si numer < 2:
        retornor Falso
    paraca i interno rango(2, entero(numer ** 0.5) + 1):
        si numer % i == 0:
            retornor Falso
    retornor Verdadero

definir Encuentra_la_matriz_de_suma_primaria(norte, METRO, incógnita):
    matriz_de_suma_de_primera_categoría = []
    número_actual = METRO
    suma_hasta_ahora = 0

    Mientras longitud(matriz_de_suma_de_primera_categoría) < norte Y número_actual <= incógnita:
        si es_primo(suma_hasta_ahora + número_actual):
            matriz_de_suma_de_primera_categoría.adjunto(número_actual)
            suma_hasta_ahora += número_actual
        número_actual += METRO

    si No es_primo(suma_hasta_ahora):
        retornor []

    retornor matriz_de_suma_de_primera_categoría

  # Uso de ejemplo
norte = 5
METRO = 3
incógnita = 20

resultado = Encuentra_la_matriz_de_suma_primaria(norte, METRO, incógnita)
imprimir(resultado)"
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def max_prime_difference(arr):
    primes = []
    for num in arr:
        if is_prime(abs(num)):
            primes.append(abs(num))
    if len(primes) < 2:
        return 0
    max_diff = 0
    for i in range(len(primes)-1):
        diff = abs(primes[i] - primes[i+1])
        if diff > max_diff:
            max_diff = diff
    return max_diff","definir is_prime(n):
    si n < 2:
        retornar FALSO
    para i en rango(2, entero(n**0.5) + 1):
        si n % i == 0:
            retornar FALSO
    retornar Verdadero

definir max_prime_difference(arr):
    primes = []
    para num en arr:
        si is_prime(valor_absoluto(num)):
            primes.adjuntar(valor_absoluto(num))
    si longitud(primes) < 2:
        retornar 0
    max_diff = 0
    para i en rango(longitud(primes)-1):
        diff = valor_absoluto(primes[i] - primes[i+1])
        si diff > max_diff:
            max_diff = diff
    retornar max_diff","definir es_primo(norte):
    si norte < 2:
        retornor Falso
    paraca i interno rango(2, entero(norte**0.5) + 1):
        si norte % i == 0:
            retornor Falso
    retornor Verdadero

definir Max_principal_diferencia(arrugado):
    Primes = []
    paraca numer interno arrugado:
        si es_primo(valor_absoluto(numer)):
            Primes.adjunto(valor_absoluto(numer))
    si longitud(Primes) < 2:
        retornor 0
    Max_Diff = 0
    paraca i interno rango(longitud(Primes)-1):
        diferencia = valor_absoluto(Primes[i] - Primes[i+1])
        si diferencia > Max_Diff:
            Max_Diff = diferencia
    retornor Max_Diff"
"import math

def calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

    # Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

    # Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

    # Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

    # Calculate the final height of the triangle
    height += remaining_side_length

    return height


def simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True):
    # Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

    # Simulate the motion until the y-coordinate becomes negative (reached the ground)
    while y >= 0:
        # Calculate the acceleration due to air resistance
        if air_resistance:
            air_resistance_acceleration = -0.5 * vy**2  # Simplified model for air resistance
        else:
            air_resistance_acceleration = 0.0  # No air resistance

        # Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

        # Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

        # Increment the time
        time += time_interval

    return x, y, time


# Example usage
angle = 45  # Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
print(f""The height of the triangle is: {height}"")

initial_velocity = 10  # m/s
time_interval = 0.01  # seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True)
print(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","importar math

definir calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

     #Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

     #Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

     #Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

     #Calculate the final height of the triangle
    height += remaining_side_length

    retornar height


definir simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=Verdadero):
     #Initialize variables
    x = 0.0
    and = 0.0
    time = 0.0

     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

     #Simulate the motion until the y-coordinate becomes negative (reached the ground)
    mientras and >= 0:
         #Calculate the acceleration due to air resistance
        si air_resistance:
            air_resistance_acceleration = -0.5 * vy**2 #Simplified model for air resistance
        sino:
            air_resistance_acceleration = 0.0 #No air resistance

         #Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

         #Calculate the new position using the kinematic equations
        x += vx * time_interval
        and += vy * time_interval

         #Increment the time
        time += time_interval

    retornar x, and, time


 #Example usage
angle = 45 #Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
imprimir(f""The height of the triangle is: {height}"")

initial_velocity = 10 #m/s
time_interval = 0.01 #seconds
x, and, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=Verdadero)
imprimir(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","importante matemáticas

definir Calcular_la_altura_del_triángulo(ángulo, longitudes_laterales, longitud_del_lado_opuesto, relación):
      # Convertir ángulo de grados a radianes
    ángulo_rad = matemáticas.radianes(ángulo)

      # Calcule la altura utilizando la Ley de Senes
    altura = longitud_del_lado_opuesto * matemáticas.pecado(ángulo_rad) / relación

      # Calcule la longitud del lado adyacente utilizando la ley de los cosenos
    longitud_lateral_adyacente = matemáticas.sqrt(longitudes_laterales**2 + longitud_del_lado_opuesto**2 - 2 * longitudes_laterales * longitud_del_lado_opuesto * matemáticas.costilla(ángulo_rad))

      # Calcule la hipotenusa del triángulo
    hipotenusa = longitudes_laterales / matemáticas.costilla(ángulo_rad)

      # Calcule el lado restante usando el teorema de Pitágoras
    Longitud_lateral_restante = matemáticas.sqrt(hipotenusa**2 - longitud_lateral_adyacente**2)

      # Calcule la altura final del triángulo
    altura += Longitud_lateral_restante

    retornor altura


definir Simular_el_movimiento_del_triángulo(velocidad_inicial, ángulo, intervalo_de_tiempo, resistencia_al_aire=Verdadero):
      # Inicializar variables
    incógnita = 0.0
    y = 0.0
    tiempo = 0.0

      # Convertir ángulo de grados a radianes
    ángulo_rad = matemáticas.radianes(ángulo)

      # Calcular las velocidades iniciales
    VX = velocidad_inicial * matemáticas.costilla(ángulo_rad)
    vy = velocidad_inicial * matemáticas.pecado(ángulo_rad)

      # Simule el movimiento hasta que la coordenada y se vuelva negativa (llegó al suelo)
    Mientras y >= 0:
          # Calcule la aceleración debido a la resistencia al aire
        si resistencia_al_aire:
            aceleración_de_resistencia_al_aire = -0.5 * vy**2 # Modelo simplificado para la resistencia al aire
        china:
            aceleración_de_resistencia_al_aire = 0.0 # Sin resistencia al aire

          # Calcule las nuevas velocidades utilizando las ecuaciones cinemáticas
        VX += aceleración_de_resistencia_al_aire * matemáticas.costilla(ángulo_rad) * intervalo_de_tiempo
        vy += (-9.8 + aceleración_de_resistencia_al_aire * matemáticas.pecado(ángulo_rad)) * intervalo_de_tiempo

          # Calcule la nueva posición utilizando las ecuaciones cinemáticas
        incógnita += VX * intervalo_de_tiempo
        y += vy * intervalo_de_tiempo

          # Incrementa el tiempo
        tiempo += intervalo_de_tiempo

    retornor incógnita, y, tiempo


  # Uso de ejemplo
ángulo = 45 # Ángulo en grados
longitudes_laterales = 5
longitud_del_lado_opuesto = 3
relación = 2
altura = Calcular_la_altura_del_triángulo(ángulo, longitudes_laterales, longitud_del_lado_opuesto, relación)
imprimir(F""The height of the triangle is: {height}"")

velocidad_inicial = 10 # EM
intervalo_de_tiempo = 0.01 # artículos de segunda clase
incógnita, y, tiempo_total = Simular_el_movimiento_del_triángulo(velocidad_inicial, ángulo, intervalo_de_tiempo, resistencia_al_aire=Verdadero)
imprimir(F""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")"
"import math

def calculate_circle_area(radius):
    try:
        radius = float(radius)
        if radius <= 0:
            return ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        return ""{:.2f}"".format(area)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""","importar math

definir calculate_circle_area(radius):
    intentar:
        radius = punto_flotante(radius)
        si radius <= 0:
            retornar ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        retornar ""{:.2f}"".formato(area)
    excepto Error de valor:
        retornar ""Error: Invalid input. Radius must be a number""","importante matemáticas

definir Calcular_el_área_del_círculo(radio):
    intentar:
        radio = Punto_Flotante(radio)
        si radio <= 0:
            retornor ""Error: Radius must be a positive number""
        área = matemáticas.pi * radio**2
        retornor ""{:.2f}"".formato(área)
    excepto Error Delaware valor:
        retornor ""Error: Invalid input. Radius must be a number"""
