English_code,Partial_translated_code
"for i in range(10):  # First digit
    for j in range(10):  # Second digit
        for k in range(10):  # Third digit
            # Checking for the conditions
            if i != 5 and j != 5 and k != 5 and i != j and i != k and j != k:
                print(i, j, k)","জন্য i ভিতরে পরিসীমা(10): #First digit
    জন্য j ভিতরে পরিসীমা(10): #Second digit
        জন্য k ভিতরে পরিসীমা(10): #Third digit
             #Checking for the conditions
            যদি i != 5 এবং j != 5 এবং k != 5 এবং i != j এবং i != k এবং j != k:
                ছাপা(i, j, k)"
"def count_distinct_states(matrix):
    count = 0
    states = set()
    for row in matrix:
        for col in row:
            state = ''.join(col)
            if state not in states:
                count += 1
            states.add(state)
    return count

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
print(count_distinct_states(matrix))
# Output: 4","সংজ্ঞায়িত_করা count_distinct_states(matrix):
    গণনা = 0
    states = সেট()
    জন্য row ভিতরে matrix:
        জন্য col ভিতরে row:
            state = ''.যোগদান(col)
            যদি state না ভিতরে states:
                গণনা += 1
            states.যোগ_করা(state)
    ফিরে_আসা গণনা

matrix = [['A', 'B', 'C'],
          ['A', 'B', 'D'],
          ['A', 'B', 'C']]
ছাপা(count_distinct_states(matrix))
 #Output: 4"
"def remove_spaces_and_punctuation(s):
    result = """"
    for char in s:
        if char.isalnum():
            result += char
    return result","সংজ্ঞায়িত_করা remove_spaces_and_punctuation(s):
    result = """"
    জন্য char ভিতরে s:
        যদি char.আলফানিউমেরিক():
            result += char
    ফিরে_আসা result"
"import math

def is_prime(n):
    # Check if the number is less than 2 or not an integer
    if n < 2 or not isinstance(n, int):
        return ""Not Prime""

    # Check if the number is divisible by any integer from 2 to the square root of n
    for i in range(2, math.isqrt(n) + 1):
        if n % i == 0:
            return ""Not Prime""

    return ""Prime""","আমদানি math

সংজ্ঞায়িত_করা is_prime(n):
     #Check if the number is less than 2 or not an integer
    যদি n < 2 বা না উদাহরণ(n, পূর্ণসংখ্যা):
        ফিরে_আসা ""Not Prime""

     #Check if the number is divisible by any integer from 2 to the square root of n
    জন্য i ভিতরে পরিসীমা(2, math.isqrt(n) + 1):
        যদি n % i == 0:
            ফিরে_আসা ""Not Prime""

    ফিরে_আসা ""Prime"""
"class String:
    def __init__(self, string):
        self.string = string

    def replace_odd_occurrences(self, substring, replace_with):
        count = self.string.count(substring)
        if count % 2 == 0 or count == 0:
            return self.string

        result = """"
        stack = []

        for i in range(len(self.string)):
            if self.string[i:i+len(substring)] == substring:
                if len(stack) > 0 and (stack[-1] == '(' or stack[-1] == '['):
                    stack.append(substring)
                    result += substring
                elif len(stack) > 0 and (stack[-1] == ')' or stack[-1] == ']'):
                    stack.pop()
                    result += substring
                else:
                    stack.append(substring)
                    result += replace_with
            else:
                result += self.string[i]

            if len(stack) > 0 and stack[-1] == substring:
                stack.pop()

        return result","শ্রেণী String:
    সংজ্ঞায়িত_করা __init__(self, string):
        self.string = string

    সংজ্ঞায়িত_করা replace_odd_occurrences(self, substring, replace_with):
        গণনা = self.string.গণনা(substring)
        যদি গণনা % 2 == 0 বা গণনা == 0:
            ফিরে_আসা self.string

        result = """"
        stack = []

        জন্য i ভিতরে পরিসীমা(দৈর্ঘ্য(self.string)):
            যদি self.string[i:i+দৈর্ঘ্য(substring)] == substring:
                যদি দৈর্ঘ্য(stack) > 0 এবং (stack[-1] == '(' বা stack[-1] == '['):
                    stack.সংযোজন(substring)
                    result += substring
                অন্যথায়_যদি দৈর্ঘ্য(stack) > 0 এবং (stack[-1] == ')' বা stack[-1] == ']'):
                    stack.পপ()
                    result += substring
                অন্য:
                    stack.সংযোজন(substring)
                    result += replace_with
            অন্য:
                result += self.string[i]

            যদি দৈর্ঘ্য(stack) > 0 এবং stack[-1] == substring:
                stack.পপ()

        ফিরে_আসা result"
"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, int(num**0.5) + 1):
        if num % i == 0:
            return False
    return True

def has_digit_7(num):
    while num > 0:
        if num % 10 == 7:
            return True
        num //= 10
    return False

def sum_of_primes():
    sum_of_primes = 0
    for num in range(1000000, 2000001):
        if is_prime(num) and not has_digit_7(num):
            sum_of_primes += num
    return sum_of_primes

result = sum_of_primes()
print(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)","সংজ্ঞায়িত_করা is_prime(num):
    যদি num <= 1:
        ফিরে_আসা মিথ্যা
    জন্য i ভিতরে পরিসীমা(2, পূর্ণসংখ্যা(num**0.5) + 1):
        যদি num % i == 0:
            ফিরে_আসা মিথ্যা
    ফিরে_আসা সত্য

সংজ্ঞায়িত_করা has_digit_7(num):
    যখন num > 0:
        যদি num % 10 == 7:
            ফিরে_আসা সত্য
        num //= 10
    ফিরে_আসা মিথ্যা

সংজ্ঞায়িত_করা sum_of_primes():
    sum_of_primes = 0
    জন্য num ভিতরে পরিসীমা(1000000, 2000001):
        যদি is_prime(num) এবং না has_digit_7(num):
            sum_of_primes += num
    ফিরে_আসা sum_of_primes

result = sum_of_primes()
ছাপা(""The sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7, is:"", result)"
"def is_prime(num):
    if num < 2:
        return False
    for i in range(2, int(num ** 0.5) + 1):
        if num % i == 0:
            return False
    return True

def find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    while len(prime_sum_array) < N and current_number <= X:
        if is_prime(sum_so_far + current_number):
            prime_sum_array.append(current_number)
            sum_so_far += current_number
        current_number += M

    if not is_prime(sum_so_far):
        return []

    return prime_sum_array

# Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
print(result)","সংজ্ঞায়িত_করা is_prime(num):
    যদি num < 2:
        ফিরে_আসা মিথ্যা
    জন্য i ভিতরে পরিসীমা(2, পূর্ণসংখ্যা(num ** 0.5) + 1):
        যদি num % i == 0:
            ফিরে_আসা মিথ্যা
    ফিরে_আসা সত্য

সংজ্ঞায়িত_করা find_prime_sum_array(N, M, X):
    prime_sum_array = []
    current_number = M
    sum_so_far = 0

    যখন দৈর্ঘ্য(prime_sum_array) < N এবং current_number <= X:
        যদি is_prime(sum_so_far + current_number):
            prime_sum_array.সংযোজন(current_number)
            sum_so_far += current_number
        current_number += M

    যদি না is_prime(sum_so_far):
        ফিরে_আসা []

    ফিরে_আসা prime_sum_array

 #Example usage
N = 5
M = 3
X = 20

result = find_prime_sum_array(N, M, X)
ছাপা(result)"
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def max_prime_difference(arr):
    primes = []
    for num in arr:
        if is_prime(abs(num)):
            primes.append(abs(num))
    if len(primes) < 2:
        return 0
    max_diff = 0
    for i in range(len(primes)-1):
        diff = abs(primes[i] - primes[i+1])
        if diff > max_diff:
            max_diff = diff
    return max_diff","সংজ্ঞায়িত_করা is_prime(n):
    যদি n < 2:
        ফিরে_আসা মিথ্যা
    জন্য i ভিতরে পরিসীমা(2, পূর্ণসংখ্যা(n**0.5) + 1):
        যদি n % i == 0:
            ফিরে_আসা মিথ্যা
    ফিরে_আসা সত্য

সংজ্ঞায়িত_করা max_prime_difference(arr):
    primes = []
    জন্য num ভিতরে arr:
        যদি is_prime(পরম_মান(num)):
            primes.সংযোজন(পরম_মান(num))
    যদি দৈর্ঘ্য(primes) < 2:
        ফিরে_আসা 0
    max_diff = 0
    জন্য i ভিতরে পরিসীমা(দৈর্ঘ্য(primes)-1):
        diff = পরম_মান(primes[i] - primes[i+1])
        যদি diff > max_diff:
            max_diff = diff
    ফিরে_আসা max_diff"
"import math

def calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

    # Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

    # Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

    # Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

    # Calculate the final height of the triangle
    height += remaining_side_length

    return height


def simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True):
    # Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

    # Convert angle from degrees to radians
    angle_rad = math.radians(angle)

    # Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

    # Simulate the motion until the y-coordinate becomes negative (reached the ground)
    while y >= 0:
        # Calculate the acceleration due to air resistance
        if air_resistance:
            air_resistance_acceleration = -0.5 * vy**2  # Simplified model for air resistance
        else:
            air_resistance_acceleration = 0.0  # No air resistance

        # Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

        # Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

        # Increment the time
        time += time_interval

    return x, y, time


# Example usage
angle = 45  # Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
print(f""The height of the triangle is: {height}"")

initial_velocity = 10  # m/s
time_interval = 0.01  # seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=True)
print(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")","আমদানি math

সংজ্ঞায়িত_করা calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio):
     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate the height using the Law of Sines
    height = opposite_side_length * math.sin(angle_rad) / side_ratio

     #Calculate the length of the adjacent side using the Law of Cosines
    adjacent_side_length = math.sqrt(side_lengths**2 + opposite_side_length**2 - 2 * side_lengths * opposite_side_length * math.cos(angle_rad))

     #Calculate the hypotenuse of the triangle
    hypotenuse = side_lengths / math.cos(angle_rad)

     #Calculate the remaining side using Pythagorean theorem
    remaining_side_length = math.sqrt(hypotenuse**2 - adjacent_side_length**2)

     #Calculate the final height of the triangle
    height += remaining_side_length

    ফিরে_আসা height


সংজ্ঞায়িত_করা simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=সত্য):
     #Initialize variables
    x = 0.0
    y = 0.0
    time = 0.0

     #Convert angle from degrees to radians
    angle_rad = math.radians(angle)

     #Calculate initial velocities
    vx = initial_velocity * math.cos(angle_rad)
    vy = initial_velocity * math.sin(angle_rad)

     #Simulate the motion until the y-coordinate becomes negative (reached the ground)
    যখন y >= 0:
         #Calculate the acceleration due to air resistance
        যদি air_resistance:
            air_resistance_acceleration = -0.5 * vy**2 #Simplified model for air resistance
        অন্য:
            air_resistance_acceleration = 0.0 #No air resistance

         #Calculate the new velocities using the kinematic equations
        vx += air_resistance_acceleration * math.cos(angle_rad) * time_interval
        vy += (-9.8 + air_resistance_acceleration * math.sin(angle_rad)) * time_interval

         #Calculate the new position using the kinematic equations
        x += vx * time_interval
        y += vy * time_interval

         #Increment the time
        time += time_interval

    ফিরে_আসা x, y, time


 #Example usage
angle = 45 #Angle in degrees
side_lengths = 5
opposite_side_length = 3
side_ratio = 2
height = calculate_triangle_height(angle, side_lengths, opposite_side_length, side_ratio)
ছাপা(f""The height of the triangle is: {height}"")

initial_velocity = 10 #m/s
time_interval = 0.01 #seconds
x, y, total_time = simulate_triangle_motion(initial_velocity, angle, time_interval, air_resistance=সত্য)
ছাপা(f""The triangle reached the ground at coordinates (x={x:.2f}m, y={y:.2f}m) in {total_time:.2f}s."")"
"import math

def calculate_circle_area(radius):
    try:
        radius = float(radius)
        if radius <= 0:
            return ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        return ""{:.2f}"".format(area)
    except ValueError:
        return ""Error: Invalid input. Radius must be a number""","আমদানি math

সংজ্ঞায়িত_করা calculate_circle_area(radius):
    চেষ্টা_করা:
        radius = ফ্লোট(radius)
        যদি radius <= 0:
            ফিরে_আসা ""Error: Radius must be a positive number""
        area = math.pi * radius**2
        ফিরে_আসা ""{:.2f}"".বিন্যাস(area)
    ছাড়া মান_ত্রুটি:
        ফিরে_আসা ""Error: Invalid input. Radius must be a number"""
