,,CHATGPT,,,,,
Language,No of Examples,Bleu Score,Syntax Valid Rate,Structure Score,Semantic Scire ,Token Match,Overall
hi (Hindi),0,"0.8563310849757922
",100,"0.7666666666666666
","0.970703947544098
",1.0,"0.9187403398373114
"
,5,"0.8614312787953363
",100,"0.85
","0.9586206376552582
",1.0,"0.9340103832901189
"
,10,"0.8643941052966163
",100,0.85,"0.9611997663974762
",1.0,"0.9351187743388186
"
,15,"0.8661403187111499
",100,0.85,"0.959670627117157
",1.0,"0.9351621891656615
"
,25,"0.884721150169316
",100,"0.8666666666666666
","0.9717984199523926
",1.0,"0.9446372473576752
"
Bn (Bengali),0,"0.7753787715011756
",100,"0.85
","0.9574151337146759
",1.0,"0.9165587810431702
"
,5,"0.7773868754091469
",100,"0.8666666666666666
","0.9583449482917785
",1.0,"0.9204796980735184
"
,10,"0.7815028952335528
",100,"0.9166666666666666
","0.960153442621231
",1.0,"0.93166460090429
"
,15,"0.7557400590197512
",100,"0.9166666666666666
","0.9595236480236053
",1.0,"0.9263860747420045
"
,25,"0.7815028952335528
",100,"0.9166666666666666
","0.960153442621231
",1.0,"0.93166460090429
"
Zh-CN (Mandarin),0,"0.8168317825293666
","100.0
",0.85,"0.962828212976455
",1.0,"0.9259319991011644
"
,5,"0.8292876363380828
",100.0,0.85,"0.9626707792282104
",1.0,"0.9283916831132586
"
,10,"0.8290209045709179
",100.0,"0.8166666666666667
","0.9628088116645813
",1.0,"0.9216992765804332
"
,15,"0.8084201139392302
",100.0,0.8,"0.9546631693840026
",1.0,"0.9126166566646464
"
,25,"0.8164438035712512
",100.0,0.85,"0.9581960737705231
","1.0
","0.9249279754683547
"
Ku (kurdish),0,"0.7781438720190207
",100.0,"0.7166666666666666
","0.9177283465862274
",1.0,"0.8825077770543828
"
,5,"0.772905816157095
","100.0
","0.7166666666666666
","0.9238009214401245
",1.0,"0.8826746808527772
"
,10,0.75082976539137,100.0,0.7,"0.9177961468696594
",1.0,"0.8737251824522059
"
,15,"0.757965445558147
",100.0,0.7,"0.9171796441078186
","1.0
","0.875029017933193
"
,25,"0.7695533332272302
","100.0
",0.7,"0.9201388001441956
",1.0,"0.8779384266742852
"
el (Greek),0,"0.8185547713606572
",100,0.85,"0.9627608776092529
",1.0,"0.926263129793982
"
,5,"0.8185547713606572
","100.0
","0.85
","0.9631172180175781
",1.0,"0.9263343978756471
"
,10,"0.8346346590161687
",100.0,0.85,"0.9632792830467224
",1.0,"0.9295827884125781
"
,15,"0.8244794728687234
",100.0,0.85,"0.9624772250652314
",1.0,0.927391339586791
,25,"0.8479606430509709
",100.0,0.85,"0.9630875051021576
",1.0,0.932209629630626
Es (Spanish),0,"0.8022560564385633
",100.0,0.95,"0.9636782884597779
",1.0,"0.9431868689796682
"
,5,"0.796099323706027
",100.0,0.9,"0.9549992620944977
","1.0
","0.930219717160105
"
,10,"0.8120991806293241
",100.0,0.9,"0.9553962230682373
",1.0,"0.9334990807395123
"
,15,"0.8120991806293241
","100.0
",0.9,"0.9514377892017365
","1.0
",0.932707393966212
,25,"0.8005626452428725
",100.0,0.9,"0.9496454656124115
",1.0,"0.9300416221710568
"
Fr (French),0,"0.8839314962895299
","100.0
","0.95
","0.974979430437088
","1.0
","0.9617821853453234
"
,5,0.88393149628953,100.0,0.95,"0.97470041513443
",1.0,"0.9617263822847919
"
,10,"0.8839314962895299
",100.0,0.95,"0.9752183020114898
",1.0,"0.9618299596602039
"
,15,"0.8839314962895299
",100.0,0.95,"0.9752183020114898
",1.0,"0.9618299596602039
"
,25,"0.8839314962895299
","100.0
","0.95
","0.9752183020114898
",1.0,"0.9618299596602039
"
